Filename,esp_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_10
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.524134,0.999962,0.675347,223.908,49.78,244.057,3.05452e-3,0.345027,23.0383,244.075,575.369,29.6391,0.0173993
0.862174,1.00318,0.744194,228.884,50.39,326.179,3.29760e-3,0.461125,23.0357,324.114,580.345,48.7548,0.0174553
0.541988,0.988479,0.851375,233.856,51.14,246.527,3.68008e-3,0.348520,23.0236,252.308,585.317,30.6487,0.0171995
1.03336,0.997232,0.959309,238.828,51.80,335.761,4.05956e-3,0.474671,23.0149,337.628,590.289,58.4354,0.0173518
1.08461,1.00070,1.07662,243.804,52.43,373.121,4.46584e-3,0.527488,23.0039,372.601,595.265,61.3330,0.0174121
1.82908,1.00120,1.20655,248.768,53.08,562.921,4.90622e-3,0.795811,23.0305,561.569,600.229,103.432,0.0174209
2.96785,1.00035,1.35171,253.748,53.75,682.400,5.38571e-3,0.964720,23.0038,681.927,605.209,167.828,0.0174060
1.41378,1.00611,1.49578,258.720,54.39,289.690,5.84684e-3,0.409539,23.0081,286.184,610.181,79.9472,0.0175062
1.57205,0.997232,1.64879,263.708,55.05,494.959,6.32135e-3,0.699732,23.0379,497.711,615.169,88.8972,0.0173518
2.24361,0.998715,1.82544,268.680,55.79,655.783,6.85169e-3,0.927092,23.0093,657.472,620.141,126.873,0.0173776
2.71532,1.00422,1.98534,273.656,56.44,491.836,7.31643e-3,0.695317,23.0095,487.711,625.117,153.548,0.0174734
2.71904,0.998456,2.15062,278.624,57.10,637.672,7.78410e-3,0.901487,23.0292,639.645,630.085,153.758,0.0173731
4.23388,1.00003,2.31845,283.604,57.75,749.238,8.24522e-3,1.05921,23.0142,749.200,635.065,239.420,0.0174004
2.38552,1.00151,2.47899,288.572,58.38,636.200,8.66916e-3,0.899406,23.0260,634.285,640.033,134.898,0.0174262
4.14892,0.999565,2.63204,293.556,59.03,905.047,9.04943e-3,1.27948,23.0374,905.834,645.017,234.616,0.0173924
4.65415,1.00004,2.78071,298.528,59.78,916.916,9.37907e-3,1.29626,23.0322,916.839,649.989,263.186,0.0174007
3.47467,0.998289,2.88126,303.504,60.43,1037.38,9.56049e-3,1.46656,23.0194,1040.94,654.965,196.488,0.0173702
1.40048,1.00794,2.94795,308.480,61.06,398.069,9.62999e-3,0.562757,23.0288,391.819,659.941,79.1954,0.0175382
2.62103,0.998588,2.98887,313.444,61.72,764.177,9.60867e-3,1.08033,23.0233,766.339,664.905,148.216,0.0173754
3.64721,0.999744,3.00523,318.420,62.37,961.197,9.51045e-3,1.35886,23.0274,961.690,669.881,206.245,0.0173955
3.42217,0.994703,3.00452,323.400,63.04,906.271,9.35883e-3,1.28121,22.9828,915.948,674.861,193.519,0.0173078
3.24197,0.997904,2.99531,328.372,63.70,777.567,9.18823e-3,1.09926,23.0320,780.837,679.833,183.329,0.0173635
4.49342,1.00139,2.97797,333.348,64.44,633.082,8.98020e-3,0.894998,23.0070,631.322,684.809,254.097,0.0174242
4.71155,0.999031,2.96884,338.320,65.05,689.923,8.82999e-3,0.975356,22.9931,691.262,689.781,266.432,0.0173831
5.46269,1.00166,2.96006,343.304,65.71,882.723,8.67657e-3,1.24792,23.0160,879.804,694.765,308.908,0.0174288
5.98239,0.997927,2.95458,348.272,66.38,948.811,8.53386e-3,1.34135,23.0133,952.756,699.733,338.296,0.0173639
2.42172,1.00334,2.95548,353.244,67.02,840.366,8.41909e-3,1.18804,23.0069,834.788,704.705,136.945,0.0174580
4.29391,1.00681,2.96136,358.232,67.67,854.506,8.31916e-3,1.20803,23.0375,842.982,709.693,242.815,0.0175185
0.877784,0.995812,2.97532,363.208,68.32,369.918,8.24483e-3,0.522959,22.9814,373.035,714.669,49.6375,0.0173271
1.61031,0.997692,2.99499,368.172,69.06,495.342,8.17162e-3,0.700273,23.0151,497.636,719.633,91.0611,0.0173598
0.887101,0.997956,3.03075,373.156,69.70,343.779,8.16163e-3,0.486006,23.0228,345.189,724.617,50.1644,0.0173644
2.34066,0.999175,3.07709,378.124,70.35,495.149,8.17818e-3,0.700001,23.0289,495.968,729.585,132.361,0.0173856
4.29480,1.00119,3.14041,383.096,71.01,657.859,8.23859e-3,0.930026,22.9845,656.294,734.557,242.865,0.0174207
4.54364,1.00521,3.21899,388.072,71.66,725.711,8.33664e-3,1.02595,23.0228,718.201,739.533,256.937,0.0174907
2.82235,0.999629,3.32023,393.044,72.32,775.346,8.48928e-3,1.09612,23.0264,775.923,744.505,159.600,0.0173935
2.40915,0.999910,3.47185,398.016,73.07,569.152,8.75098e-3,0.804619,23.0268,569.254,749.477,136.234,0.0173984
3.45868,0.998542,3.63192,403.004,73.70,679.723,9.04543e-3,0.960936,23.0328,681.709,754.465,195.584,0.0173746
3.00674,1.00037,3.83078,407.968,74.34,661.838,9.42720e-3,0.935651,23.0295,661.348,759.429,170.027,0.0174064
1.97732,0.998945,4.08238,412.948,75.00,591.659,9.92449e-3,0.836438,23.0349,592.910,764.409,111.815,0.0173816
3.56284,1.00058,4.38495,417.920,75.66,1015.27,0.0105317,1.43530,22.9982,1014.10,769.381,201.474,0.0174100
4.45117,0.997767,4.73964,422.896,76.32,1116.33,0.0112496,1.57818,23.0395,1121.34,774.357,251.708,0.0173611
4.58704,1.00097,5.11691,427.876,76.95,1101.57,0.0120123,1.55731,23.0161,1099.44,779.337,259.391,0.0174168
3.76596,0.996192,5.63562,432.840,77.69,848.239,0.0130602,1.19917,22.9897,854.737,784.301,212.960,0.0173337
6.57412,0.998180,6.09965,437.828,78.31,767.042,0.0139907,1.08438,23.0334,769.841,789.289,371.758,0.0173683
9.17454,0.999519,6.65666,442.800,78.97,1403.39,0.0151022,1.98400,23.0392,1404.74,794.261,518.808,0.0173916
17.0797,1.00267,7.28109,447.776,79.62,1891.77,0.0163005,2.67443,23.0567,1881.71,799.237,965.833,0.0174464
9.21748,0.995979,8.00671,452.748,80.28,1556.93,0.0177138,2.20106,23.0208,1569.53,804.209,521.236,0.0173300
8.46085,0.998491,8.82691,457.720,80.94,1375.73,0.0193037,1.94489,23.0173,1379.89,809.181,478.450,0.0173737
6.81570,0.999134,9.82785,462.696,81.66,1506.53,0.0212342,2.12981,23.0401,1509.14,814.157,385.419,0.0173849
9.62157,0.995399,10.8723,467.680,82.34,1645.57,0.0232388,2.32637,23.0370,1660.82,819.141,544.087,0.0173199
13.1945,0.999560,11.8803,472.656,82.97,1984.77,0.0251667,2.80590,23.0717,1986.52,824.117,746.132,0.0173923
13.8511,0.998077,12.8832,477.616,83.59,1804.24,0.0270776,2.55068,23.0212,1811.20,829.077,783.263,0.0173665
13.3321,1.01067,13.9770,482.604,84.27,1718.98,0.0291499,2.43015,23.0352,1682.86,834.065,753.912,0.0175857
14.0591,0.999157,15.0340,487.568,84.93,1993.79,0.0311383,2.81865,22.9881,1997.15,839.029,795.022,0.0173853
16.4796,1.00094,15.5330,492.552,85.27,1970.32,0.0321016,2.78547,22.9915,1966.60,844.013,931.901,0.0174164
16.5045,1.00013,16.5023,497.528,85.31,1854.29,0.0321473,2.62144,23.0160,1853.79,848.989,933.307,0.0174023

