Filename,esp_4
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_4
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
0.0166356,4.12041,2.84237e-3,162.595,25.00,33.6139,1.62064e-4
0.0178460,4.51610,2.82142e-3,164.889,24.99,32.7312,1.59849e-4
0.0194209,4.94959,2.80063e-3,167.182,25.00,32.2252,1.57619e-4
0.0211443,5.41066,2.75951e-3,169.411,24.99,32.2149,1.56218e-4
0.0229830,5.93050,2.73243e-3,171.704,24.99,32.5068,1.54387e-4
0.0250883,6.49954,2.68700e-3,173.998,24.99,31.6551,1.51740e-4
0.0264922,7.10504,2.64754e-3,176.226,24.99,32.4040,1.48894e-4
0.0280685,7.78741,2.61640e-3,178.520,25.00,31.8660,1.45887e-4
0.0302762,8.53489,2.59328e-3,180.814,24.99,31.6722,1.42933e-4
0.0327758,9.35478,2.57798e-3,183.108,25.00,31.6769,1.41065e-4
0.0357635,10.2525,2.57798e-3,185.401,24.99,32.0568,1.40042e-4
0.0391524,11.2076,2.56277e-3,187.630,25.00,31.2389,1.38967e-4
0.0427070,12.2839,2.52514e-3,189.923,24.99,31.3981,1.37829e-4
0.0459382,13.4630,2.48438e-3,192.217,24.99,31.3461,1.36287e-4
0.0495168,14.7171,2.44790e-3,194.445,24.99,32.0559,1.33973e-4
0.0532470,16.1310,2.40839e-3,196.739,25.00,32.5235,1.31146e-4
0.0565907,17.6793,2.38711e-3,199.033,25.00,31.9884,1.28652e-4
0.0604758,19.3256,2.35903e-3,201.261,25.00,31.3297,1.26163e-4
0.0657518,21.1823,2.34858e-3,203.555,24.99,30.0698,1.24005e-4
0.0706826,23.2149,2.31067e-3,205.849,24.99,30.3980,1.22409e-4
0.0769477,25.3774,2.29704e-3,208.077,24.99,31.2432,1.21019e-4
0.0835093,27.8154,2.27674e-3,210.371,25.00,31.8514,1.19189e-4
0.0899993,30.4849,2.24996e-3,212.664,24.99,31.1946,1.17484e-4
0.0959316,33.3240,2.22678e-3,214.893,24.99,30.2480,1.15903e-4
0.103588,36.5255,2.20384e-3,217.186,24.99,29.9896,1.14289e-4
0.113220,40.0307,2.18114e-3,219.480,24.99,30.0245,1.12501e-4
0.122609,43.7598,2.15867e-3,221.708,24.99,31.7638,1.11058e-4
0.130960,47.9632,2.14594e-3,224.002,24.99,31.4861,1.09855e-4
0.141669,52.5660,2.12383e-3,226.296,24.99,29.5517,1.08394e-4
0.154467,57.4629,2.11442e-3,228.524,24.99,29.9888,1.06862e-4
0.166733,62.9829,2.08955e-3,230.818,24.99,29.9119,1.05616e-4
0.179880,69.0272,2.06803e-3,233.112,24.99,31.3338,1.04626e-4
0.194432,75.4572,2.04975e-3,235.340,24.98,31.0035,1.03179e-4
0.212790,82.7053,2.03665e-3,237.634,25.00,31.4100,1.01952e-4
0.226961,90.6426,2.00774e-3,239.927,24.99,29.0926,1.00650e-4
0.247274,99.0858,1.98705e-3,242.156,24.99,28.9764,9.94267e-5
0.265599,108.604,1.97533e-3,244.449,25.00,29.6127,9.80245e-5
0.288057,119.027,1.96658e-3,246.743,24.99,29.9359,9.69221e-5
0.312100,130.114,1.94345e-3,248.971,25.00,29.3642,9.57414e-5
0.337696,142.613,1.93771e-3,251.265,24.99,27.9929,9.47102e-5
0.366388,156.300,1.91775e-3,253.559,25.00,27.3512,9.37265e-5
0.396087,170.859,1.89518e-3,255.787,24.99,28.9925,9.27429e-5
0.430424,187.271,1.88679e-3,258.081,25.00,29.1096,9.18141e-5
0.466463,205.244,1.87844e-3,260.375,25.00,28.0160,9.09034e-5
0.505516,224.363,1.86460e-3,262.603,24.99,26.7287,9.00674e-5
0.548725,245.914,1.85634e-3,264.897,25.00,26.1692,8.92176e-5
0.595938,269.514,1.83722e-3,267.190,25.00,26.5817,8.84573e-5
0.646187,294.620,1.82638e-3,269.419,25.00,25.2770,8.77175e-5
0.703499,322.919,1.82368e-3,271.712,24.99,24.6395,8.70282e-5
0.763898,353.912,1.81829e-3,274.006,24.99,21.8393,8.64082e-5
0.830286,386.878,1.81829e-3,276.234,24.99,21.4950,8.58935e-5
0.905049,424.042,1.81829e-3,278.528,25.00,19.7933,8.57192e-5
0.988585,464.738,1.80756e-3,280.822,24.99,20.5787,8.54411e-5
1.09596,508.026,1.80756e-3,283.050,25.00,19.6698,8.52194e-5
1.18259,556.829,1.80222e-3,285.344,25.00,15.6017,8.49802e-5
1.29260,610.267,1.79956e-3,287.638,24.99,12.4362,8.46981e-5
1.40414,667.114,1.79690e-3,289.866,25.00,7.46394,8.41468e-5
1.53034,731.194,1.79690e-3,292.160,25.00,5.05730,8.40755e-5
1.67213,801.370,1.78894e-3,294.453,24.99,-0.855376,8.39810e-5
1.85313,876.015,,296.681,25.00,-7.84060,8.43091e-5
1.99834,955.073,,298.844,25.00,-17.3799,8.36281e-5

