Filename,esp_2
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_2
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
7.26090e-3,6.45388e-3,,1.11759,25.07,11.8686,,0.0167788,23.0405,284943,1.11759,0.410594,1.12297e-4
6.80827e-4,6.99954e-3,0.0975065,3.53898,25.06,11.0049,0.0286018,0.0155578,23.0282,224620,3.53898,0.0384999,1.21792e-4
7.41439e-4,7.75509e-3,0.0949322,5.83274,25.04,10.1115,0.0195122,0.0142948,23.0195,168129,5.83274,0.0419274,1.34938e-4
7.91016e-4,8.53240e-3,0.0922050,8.06096,25.04,9.87103,0.0145498,0.0139548,23.0234,135588,8.06096,0.0447309,1.48463e-4
8.36382e-4,9.37052e-3,0.0889740,10.3547,25.02,9.87760,0.0110628,0.0139641,23.0221,112493,10.3547,0.0472963,1.63047e-4
8.93844e-4,0.0102772,0.0853774,12.6485,25.01,9.25041,8.92734e-3,0.0130775,23.0234,87580.8,12.6485,0.0505457,1.78823e-4
9.13399e-4,0.0112243,0.0818416,14.8767,25.01,8.58011,7.50880e-3,0.0121298,23.0260,68104.4,14.8767,0.0516515,1.95302e-4
9.57776e-4,0.0123033,0.0783823,17.1705,24.99,7.94228,6.44352e-3,0.0112281,23.0273,52468.8,17.1705,0.0541610,2.14077e-4
1.00328e-3,0.0134833,0.0752286,19.4642,24.99,7.38537,5.65354e-3,0.0104408,23.0248,40623.8,19.4642,0.0567341,2.34609e-4
1.06344e-3,0.0147404,0.0724153,21.6924,24.99,6.98840,5.05806e-3,9.87962e-3,23.0241,32163.2,21.6924,0.0601362,2.56482e-4
1.14727e-3,0.0161657,0.0698312,23.9862,24.98,6.87464,4.57348e-3,9.71879e-3,23.0313,26306.2,23.9862,0.0648768,2.81283e-4
1.18642e-3,0.0177102,0.0672473,26.2800,24.97,5.91382,4.17075e-3,8.36047e-3,23.0253,18854.7,26.2800,0.0670905,3.08157e-4
1.26068e-3,0.0193608,0.0643426,28.5082,24.98,5.67478,3.81108e-3,8.02253e-3,23.0313,15139.2,28.5082,0.0712897,3.36877e-4
1.30944e-3,0.0212207,0.0609139,30.8020,24.98,4.94757,3.46094e-3,6.99446e-3,23.0295,10986.9,30.8020,0.0740473,3.69239e-4
1.33889e-3,0.0232738,0.0573814,33.0957,24.97,4.23212,3.14337e-3,5.98302e-3,23.0269,7813.11,33.0957,0.0757124,4.04963e-4
1.37678e-3,0.0254349,0.0539106,35.3239,24.97,4.24577,2.86346e-3,6.00231e-3,23.0313,6562.92,35.3239,0.0778552,4.42566e-4
1.39332e-3,0.0278804,0.0503015,37.6177,24.97,2.89623,2.59748e-3,4.09444e-3,23.0334,3725.92,37.6177,0.0787902,4.85119e-4
1.44356e-3,0.0305745,0.0467044,39.9115,24.97,2.88199,2.35131e-3,4.07432e-3,23.0290,3083.01,39.9115,0.0816314,5.31994e-4
1.46376e-3,0.0334343,0.0431031,42.1397,24.98,3.00945,2.12297e-3,4.25451e-3,23.0326,2692.18,42.1397,0.0827734,5.81755e-4
1.46306e-3,0.0366294,0.0395898,44.4334,24.97,2.11850,1.91144e-3,2.99496e-3,23.0330,1578.95,44.4334,0.0827339,6.37350e-4
1.44347e-3,0.0401397,0.0362505,46.7272,24.98,1.88710,1.71889e-3,2.66782e-3,23.0260,1171.24,46.7272,0.0816264,6.98429e-4
1.43710e-3,0.0438940,0.0332502,48.9554,24.98,0.774743,1.55154e-3,1.09527e-3,23.0329,402.113,48.9554,0.0812663,7.63754e-4
1.46837e-3,0.0480992,0.0305730,51.2492,24.97,-0.189184,1.40530e-3,-2.67453e-4,23.0317,-81.7727,51.2492,0.0830344,8.36925e-4
1.48625e-3,0.0526911,0.0283491,53.5429,24.99,-0.742998,1.28576e-3,-1.05039e-3,23.0303,-267.616,53.5429,0.0840456,9.16824e-4
1.51841e-3,0.0575055,0.0264644,55.7712,24.98,-0.222693,1.18620e-3,-3.14825e-4,23.0326,-67.3423,55.7712,0.0858638,1.00059e-3
1.55933e-3,0.0630621,0.0245085,58.0649,24.99,-1.42967,1.08647e-3,-2.02115e-3,23.0313,-359.501,58.0649,0.0881780,1.09728e-3
1.58311e-3,0.0690790,0.0227481,60.3587,24.98,-2.15931,9.98599e-4,-3.05266e-3,23.0290,-452.506,60.3587,0.0895228,1.20197e-3
1.58392e-3,0.0757791,0.0210325,62.6524,24.98,-1.89964,9.15490e-4,-2.68555e-3,23.0302,-330.805,62.6524,0.0895688,1.31855e-3
1.61443e-3,0.0830403,0.0195330,64.9462,24.99,-2.89802,8.43514e-4,-4.09698e-3,23.0292,-420.266,64.9462,0.0912941,1.44490e-3
1.62865e-3,0.0908517,0.0181306,67.1744,24.98,-2.84945,7.77541e-4,-4.02832e-3,23.0340,-345.219,67.1744,0.0920978,1.58082e-3
1.70124e-3,0.0994632,0.0168850,69.4682,24.99,-2.70839,7.19607e-4,-3.82890e-3,23.0334,-273.771,69.4682,0.0962027,1.73066e-3
1.71210e-3,0.109010,0.0158090,71.7620,24.99,-3.67340,6.69966e-4,-5.19315e-3,23.0301,-309.125,71.7620,0.0968168,1.89677e-3
1.74555e-3,0.119311,0.0148916,73.9902,24.98,-4.45243,6.27588e-4,-6.29447e-3,23.0322,-312.776,73.9902,0.0987088,2.07601e-3
1.83504e-3,0.130811,0.0139143,76.2839,24.99,-5.44122,5.83646e-4,-7.69234e-3,23.0321,-317.987,76.2839,0.103769,2.27610e-3
1.89878e-3,0.143118,0.0130242,78.5777,24.98,-5.56447,5.44219e-4,-7.86658e-3,23.0313,-271.665,78.5777,0.107374,2.49025e-3
1.91552e-3,0.156603,0.0123152,80.8059,24.99,-6.21763,5.12486e-4,-8.78996e-3,23.0313,-253.527,80.8059,0.108320,2.72489e-3
1.93227e-3,0.171922,0.0115253,83.0997,24.99,-7.29903,4.77905e-4,-0.0103188,23.0291,-246.946,83.0997,0.109267,2.99144e-3
2.07267e-3,0.188064,0.0108021,85.3934,24.99,-7.19903,4.46587e-4,-0.0101774,23.0313,-203.545,85.3934,0.117207,3.27231e-3
2.09279e-3,0.205937,0.0101098,87.6217,24.99,-7.73203,4.16732e-4,-0.0109309,23.0340,-182.316,87.6217,0.118345,3.58330e-3
2.15471e-3,0.225486,9.53619e-3,89.9154,24.99,-8.21407,3.91916e-4,-0.0116124,23.0286,-161.555,89.9154,0.121846,3.92345e-3
2.16703e-3,0.247090,8.94285e-3,92.2092,24.99,-8.20900,3.66672e-4,-0.0116052,23.0276,-134.456,92.2092,0.122543,4.29936e-3
2.26967e-3,0.270137,8.45206e-3,94.4374,25.00,-8.58820,3.45706e-4,-0.0121413,23.0306,-117.689,94.4374,0.128347,4.70037e-3
2.37255e-3,0.296134,8.01437e-3,96.7312,24.99,-9.44646,3.27184e-4,-0.0133546,23.0273,-107.719,96.7312,0.134164,5.15272e-3
2.47316e-3,0.324520,7.67673e-3,99.0249,24.99,-9.17422,3.12773e-4,-0.0129697,23.0296,-87.1135,99.0249,0.139854,5.64664e-3
2.60931e-3,0.355088,7.38819e-3,101.253,25.00,-9.17470,3.00513e-4,-0.0129704,23.0285,-72.7643,101.253,0.147553,6.17853e-3
2.75435e-3,0.388559,7.04017e-3,103.547,24.99,-9.88854,2.85951e-4,-0.0139796,23.0256,-65.4966,103.547,0.155755,6.76091e-3
2.94859e-3,0.426173,6.71241e-3,105.841,25.00,-10.4940,2.72251e-4,-0.0148356,23.0234,-57.7791,105.841,0.166739,7.41539e-3
2.92927e-3,0.466200,6.42069e-3,108.069,24.99,-11.2058,2.60057e-4,-0.0158418,23.0209,-51.5581,108.069,0.165646,8.11186e-3
3.08038e-3,0.510661,6.10785e-3,110.363,24.99,-11.3608,2.47148e-4,-0.0160609,23.0280,-43.5655,110.363,0.174191,8.88549e-3
3.28235e-3,0.559841,5.76222e-3,112.656,24.99,-11.2159,2.32930e-4,-0.0158561,23.0414,-35.7853,112.656,0.185612,9.74122e-3
3.38165e-3,0.611984,5.52851e-3,114.885,25.00,-11.5315,2.23232e-4,-0.0163022,23.0335,-30.7896,114.885,0.191228,0.0106485
