Filename,esp_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
8.02467e-3,0.225533,0.0354392,89.9154,24.97,21.3387,1.46995e-3,0.0301668,20.0306,419.514,89.9154,0.453784,3.92427e-3
7.74291e-3,0.247053,0.0322165,92.2092,24.97,21.1139,1.33185e-3,0.0298491,20.0331,345.931,92.2092,0.437851,4.29871e-3
7.85923e-3,0.270342,0.0293179,94.4374,24.97,20.7443,1.20839e-3,0.0293265,20.0276,283.838,94.4374,0.444429,4.70395e-3
7.95721e-3,0.296174,0.0269432,96.7312,24.97,22.1174,1.10741e-3,0.0312678,20.0252,252.139,96.7312,0.449970,5.15342e-3
8.05014e-3,0.324498,0.0250410,99.0249,24.97,21.6987,1.02668e-3,0.0306758,20.0310,206.068,99.0249,0.455225,5.64625e-3
8.29974e-3,0.354738,0.0232635,101.253,24.97,20.6376,9.51677e-4,0.0291757,20.0379,164.000,101.253,0.469339,6.17242e-3
8.47080e-3,0.388753,0.0215392,103.547,24.97,21.3238,8.79373e-4,0.0301459,20.0263,141.097,103.547,0.479012,6.76428e-3
8.50934e-3,0.426426,0.0199424,105.841,24.98,20.7900,8.12602e-4,0.0293911,20.0223,114.332,105.841,0.481192,7.41980e-3
8.54967e-3,0.466140,0.0182059,108.069,24.99,19.9136,7.40703e-4,0.0281522,20.0250,91.6469,108.069,0.483472,8.11082e-3
8.68774e-3,0.510486,0.0165093,110.363,24.99,20.3649,6.70639e-4,0.0287902,20.0295,78.1472,110.363,0.491280,8.88244e-3
8.22042e-3,0.559981,0.0150642,112.656,24.98,20.1266,6.11038e-4,0.0284534,20.0354,64.1836,112.656,0.464854,9.74366e-3
8.18030e-3,0.611667,0.0138718,114.885,24.98,19.6865,5.61924e-4,0.0278311,20.0232,52.6186,114.885,0.462585,0.0106430
8.55600e-3,0.670875,0.0125947,117.178,25.00,19.9280,5.09651e-4,0.0281726,20.0226,44.2773,117.178,0.483830,0.0116732
8.80270e-3,0.735087,0.0116182,119.472,24.99,20.2249,4.69564e-4,0.0285923,20.0299,37.4290,119.472,0.497781,0.0127905
8.50212e-3,0.803705,0.0107597,121.700,24.99,20.1266,4.34508e-4,0.0284534,20.0303,31.1586,121.700,0.480783,0.0139844
8.66788e-3,0.880489,9.89075e-3,123.994,24.98,21.3268,3.99041e-4,0.0301501,20.0161,27.5092,123.994,0.490157,0.0153205
8.71373e-3,0.965549,9.07053e-3,126.288,25.00,20.3671,3.65643e-4,0.0287933,20.0099,21.8464,126.288,0.492750,0.0168005
8.86205e-3,1.05525,8.44742e-3,128.516,24.99,19.8195,3.40267e-4,0.0280192,20.0131,17.7984,128.516,0.501137,0.0183614
9.04509e-3,1.15655,7.85734e-3,130.810,24.99,20.4939,3.16306e-4,0.0289726,20.0143,15.3215,130.810,0.511488,0.0201238
9.30630e-3,1.26764,7.34455e-3,133.104,24.99,20.3701,2.95461e-4,0.0287976,20.0119,12.6765,133.104,0.526259,0.0220570
9.53468e-3,1.38578,6.91974e-3,135.332,24.99,20.5509,2.78210e-4,0.0290532,20.0090,10.7015,135.332,0.539173,0.0241125
9.82047e-3,1.51877,6.52385e-3,137.626,25.00,20.5585,2.62168e-4,0.0290640,20.0232,8.91272,137.626,0.555334,0.0264265
0.0103045,1.66438,6.12132e-3,139.919,24.99,19.8484,2.45876e-4,0.0280600,20.0101,7.16509,139.919,0.582707,0.0289601
0.0106353,1.81996,5.79742e-3,142.148,24.99,20.4224,2.32771e-4,0.0288714,20.0163,6.16571,142.148,0.601409,0.0316672
0.0106812,1.99452,5.47797e-3,144.441,24.99,20.3418,2.19860e-4,0.0287575,20.0291,5.11341,144.441,0.604010,0.0347046
0.0113944,2.18614,5.18044e-3,146.735,24.99,19.7273,2.07845e-4,0.0278888,20.0319,4.12772,146.735,0.644338,0.0380388
0.0116732,2.38955,4.92414e-3,148.963,24.99,20.2552,1.97494e-4,0.0286351,20.0290,3.54734,148.963,0.660104,0.0415782
0.0123019,2.61878,4.69479e-3,151.257,24.99,19.9705,1.88238e-4,0.0282326,20.0317,2.91200,151.257,0.695657,0.0455666
0.0129400,2.87055,4.44948e-3,153.551,25.00,19.6513,1.78350e-4,0.0277813,20.0365,2.38485,153.551,0.731738,0.0499474
0.0132700,3.13777,4.22579e-3,155.779,24.99,20.3116,1.69341e-4,0.0287148,20.0317,2.06300,155.779,0.750403,0.0545972
0.0137518,3.43932,4.01324e-3,158.073,24.99,20.2094,1.60790e-4,0.0285704,20.0247,1.70847,158.073,0.777643,0.0598441
0.0141374,3.76925,3.80166e-3,160.367,24.99,19.9698,1.52279e-4,0.0282317,20.0255,1.40561,160.367,0.799451,0.0655847
