Filename,esp_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_10
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
6.64570e-3,0.247122,0.0269762,92.2092,24.99,74.0721,1.10621e-3,0.104717,23.0317,1212.92,92.2092,0.375805,4.29991e-3
7.13511e-3,0.270245,0.0264679,94.4374,24.99,72.7425,1.08294e-3,0.102837,23.0285,996.033,94.4374,0.403481,4.70225e-3
7.78124e-3,0.296089,0.0260590,96.7312,24.98,74.4030,1.06401e-3,0.105185,23.0286,848.685,96.7312,0.440019,5.15193e-3
8.30261e-3,0.324610,0.0256196,99.0249,24.99,73.5476,1.04406e-3,0.103975,23.0299,697.983,99.0249,0.469502,5.64820e-3
8.92939e-3,0.354658,0.0251423,101.253,24.99,74.0607,1.02295e-3,0.104701,23.0241,588.801,101.253,0.504945,6.17104e-3
9.61612e-3,0.388826,0.0250157,103.547,24.99,72.6966,1.01656e-3,0.102772,23.0297,480.843,103.547,0.543779,6.76556e-3
0.0102184,0.426435,0.0251009,105.841,24.99,72.7360,1.01824e-3,0.102828,23.0276,399.986,105.841,0.577836,7.41995e-3
0.0119781,0.466674,0.0246514,108.069,24.99,73.4298,9.98769e-4,0.103809,23.0333,337.166,108.069,0.677344,8.12012e-3
0.0132592,0.510018,0.0241251,110.363,24.99,73.3171,9.76258e-4,0.103650,23.0158,281.860,110.363,0.749792,8.87430e-3
0.0128854,0.559636,0.0236270,112.656,24.99,72.5742,9.54957e-4,0.102599,23.0294,231.725,112.656,0.728651,9.73764e-3
0.0135492,0.611559,0.0227063,114.885,24.98,72.3911,9.16630e-4,0.102340,23.0303,193.557,114.885,0.766187,0.0106411
0.0145454,0.670693,0.0215890,117.178,25.00,72.0021,8.71016e-4,0.101791,23.0256,160.065,117.178,0.822525,0.0116700
0.0153785,0.735300,0.0223188,119.472,24.99,71.2630,8.99782e-4,0.100746,23.0218,131.806,119.472,0.869634,0.0127942
0.0162930,0.803699,0.0224796,121.700,24.99,71.8097,9.05706e-4,0.101519,23.0299,111.172,121.700,0.921348,0.0139843
0.0238855,0.880818,0.0230936,123.994,24.99,71.7351,9.29803e-4,0.101413,23.0352,92.4612,123.994,1.35069,0.0153262
0.0222692,0.965289,0.0227741,126.288,24.99,72.4096,9.16251e-4,0.102367,23.0292,77.7109,126.288,1.25930,0.0167960
0.0261296,1.05518,0.0224917,128.516,24.99,72.9882,9.04331e-4,0.103185,23.0292,65.5540,128.516,1.47759,0.0183601
0.0225768,1.15624,0.0206276,130.810,24.99,70.5782,8.28906e-4,0.0997776,23.0367,52.7931,130.810,1.27669,0.0201185
0.0239974,1.26745,0.0192756,133.104,25.00,71.3736,7.74215e-4,0.100902,23.0345,44.4303,133.104,1.35702,0.0220535
0.0244824,1.38550,0.0179024,135.332,24.99,70.3276,7.18771e-4,0.0994233,23.0322,36.6362,135.332,1.38444,0.0241077
0.0251116,1.51890,0.0170881,137.626,25.00,71.1248,6.85811e-4,0.100550,23.0414,30.8292,137.626,1.42003,0.0264288
