Filename,esp_0dot5
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_dot5
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
0.0120015,5.41061,2.40438e-3,169.411,25.00,-6.90570,9.22741e-5
0.0131257,5.93043,2.31425e-3,171.704,24.99,-7.55207,8.91471e-5
0.0147366,6.49966,2.25195e-3,173.998,25.00,-6.04604,8.64788e-5
0.0148975,7.10533,2.15575e-3,176.226,24.99,-6.89777,8.37725e-5
0.0157681,7.78719,2.05242e-3,178.520,24.99,-5.21695,8.09453e-5
0.0160940,8.53538,1.99717e-3,180.814,24.99,-6.22080,7.75097e-5
0.0174623,9.35473,1.95404e-3,183.108,24.99,-6.20005,7.55187e-5
0.0187497,10.2529,1.94341e-3,185.401,25.00,-6.97157,7.41186e-5
0.0206517,11.2075,1.92231e-3,187.630,25.00,-6.18747,7.33332e-5
0.0226506,12.2842,1.91185e-3,189.923,25.00,-5.84927,7.27233e-5
0.0240571,13.4630,1.90144e-3,192.217,25.00,-5.60462,7.24185e-5
0.0263678,14.7172,1.88080e-3,194.445,24.99,-5.78287,7.19454e-5
0.0289067,16.1309,1.86038e-3,196.739,25.00,-6.41457,7.12308e-5
0.0315054,17.6793,1.84019e-3,199.033,25.00,-6.42365,7.08486e-5
0.0339191,19.3262,1.80045e-3,201.261,24.99,-6.71158,6.99397e-5
0.0368682,21.1820,1.79065e-3,203.555,25.00,-6.90267,6.89245e-5
0.0389460,23.2154,1.79065e-3,205.849,24.99,-7.23617,6.82740e-5
0.0423154,25.3776,1.77121e-3,208.077,24.99,-7.59331,6.79120e-5
0.0473077,27.8153,1.77121e-3,210.371,25.00,-7.55912,6.76024e-5
0.0520682,30.4850,1.77121e-3,212.664,24.99,-7.50378,6.76917e-5
0.0567056,33.3247,1.77121e-3,214.893,25.00,-7.62077,6.76737e-5
0.0616790,36.5255,1.76157e-3,217.186,24.99,-7.91245,6.74211e-5
0.0666547,40.0311,1.75199e-3,219.480,25.00,-8.63074,6.71201e-5
0.0730770,43.7599,1.73297e-3,221.708,24.99,-8.35741,6.66377e-5
0.0801360,47.9634,1.74245e-3,224.002,25.00,-8.03972,6.64682e-5
0.0862348,52.5667,1.74245e-3,226.296,25.00,-7.58473,6.64087e-5
0.0958437,57.4633,1.71415e-3,228.524,24.99,-8.22821,6.61050e-5
0.104418,62.9828,1.72354e-3,230.818,24.99,-9.13030,6.59137e-5
0.112632,69.0277,1.72354e-3,233.112,25.00,-8.46217,6.58090e-5
0.124291,75.4570,1.70482e-3,235.340,24.99,-8.64518,6.55632e-5
0.134651,82.7058,1.70482e-3,237.634,25.00,-8.26369,6.53038e-5
0.148317,90.6430,1.70482e-3,239.927,24.99,-8.58788,6.52433e-5
0.161082,99.0866,1.70482e-3,242.156,24.99,-8.33472,6.50823e-5
0.176426,108.605,1.70482e-3,244.449,25.00,-9.52441,6.50191e-5
0.193616,119.027,1.70482e-3,246.743,25.00,-9.99277,6.48682e-5
