Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Zhou, X., Pan, Y., Liu, R., Luo, X., Zeng, X., Zhi, D., Li, J., Cheng, Q., Huang, Z., Zhang, H., Wang, K.","56586998300; 56587159800; 55739633600; 57205376481; 57207925278; 57193835698; 57208743956; 57200566411; 57205378646; 56979584900; 56942185500","Biocompatibility and biodegradation properties of polycaprolactone/polydioxanone composite scaffolds prepared by blend or co-electrospinning",2019,"Journal of Bioactive and Compatible Polymers",34,"2",,115,130,,3,10.1177/0883911519835569,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063272232&partnerID=40&md5=86a6d4412e19c11d008cff5fb7a516a6",Article,Final,,Scopus,2-s2.0-85063272232
"Liu, Y., Zhou, S., Gao, Y., Zhai, Y.","57206823023; 57203686831; 57203682621; 23480765500","Electrospun nanofibers as a wound dressing for treating diabetic foot ulcer",2019,"Asian Journal of Pharmaceutical Sciences",14,"2",,130,143,,16,10.1016/j.ajps.2018.04.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052643749&partnerID=40&md5=1cb3239bb353cd6f274dae8ad8f2771d",Review,Final,Open Access,Scopus,2-s2.0-85052643749
"Kyselica, R., Enikov, E.T., Anton, R.","57194682476; 6701546240; 7103027020","Electrospinning under lateral electrostatic control in ambient atmosphere",2019,"Journal of Electrostatics",98,"",,75,81,,,10.1016/j.elstat.2019.02.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063044282&partnerID=40&md5=814e94005a9ef655e531835429c82348",Article,Final,,Scopus,2-s2.0-85063044282
"Leidy, R., Maria Ximena, Q.-C.","57205405016; 36806481900","Use of electrospinning technique to produce nanofibres for food industries: A perspective from regulations to characterisations",2019,"Trends in Food Science and Technology",85,"",,92,106,,11,10.1016/j.tifs.2019.01.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059907460&partnerID=40&md5=7c712223cccc278c195efd3fc81597c9",Review,Final,,Scopus,2-s2.0-85059907460
"Hu, L., Yan, J., Wang, C., Chai, B., Li, J.","57195476905; 55262380800; 57203540839; 36134405500; 35242666000","Direct electrospinning method for the construction of Z-scheme TiO<inf>2</inf>/g-C<inf>3</inf>N<inf>4</inf>/RGO ternary heterojunction photocatalysts with remarkably ameliorated photocatalytic performance | 电纺法构筑高光催化活性的Z型TiO<inf>2</inf>/g-C<inf>3</inf>N<inf>4</inf>/RGO三元异质结",2019,"Cuihua Xuebao/Chinese Journal of Catalysis",40,"3",,458,469,,14,10.1016/S1872-2067(18)63181-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068560295&partnerID=40&md5=9bee8895011621bff0c84684614c76f8",Article,Final,,Scopus,2-s2.0-85068560295
"Ashraf, R., Sofi, H.S., Kim, H., Sheikh, F.A.","57202379539; 57202377744; 23397157100; 18038579800","Recent Progress in the Biological Basis of Remodeling Tissue Regeneration Using Nanofibers: Role of Mesenchymal Stem Cells and Biological Molecules",2019,"Journal of Bionic Engineering",16,"2",,189,208,,3,10.1007/s42235-019-0017-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064016026&partnerID=40&md5=b23c57cf3dbfd386dec878327c2aa561",Article,Final,,Scopus,2-s2.0-85064016026
"Fan, Z.-Z., He, H.-W., Yan, X., Zhao, R.-H., Long, Y.-Z., Ning, X.","57207957593; 55916112000; 56501018800; 57195914906; 56024751400; 57189595036","Fabrication of ultrafine PPS fibers with high strength and tenacity via melt electrospinning",2019,"Polymers",11,"3", 530,,,,5,10.3390/polym11030530,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063388939&partnerID=40&md5=e190d991a92f621397df9048fd16d3ed",Article,Final,Open Access,Scopus,2-s2.0-85063388939
"Li, X.-X., He, J.-H.","57203624514; 55817862100","Nanoscale adhesion and attachment oscillation under the geometric potential. Part 1: The formation mechanism of nanofiber membrane in the electrospinning",2019,"Results in Physics",12,"",,1405,1410,,31,10.1016/j.rinp.2019.01.043,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060461730&partnerID=40&md5=976713353a711093d83c36dd71bc4ecc",Article,Final,Open Access,Scopus,2-s2.0-85060461730
"Chen, T.-Y., Su, C.-M., Huang, C.-K., Hsieh, J.-H., Ger, T.-R.","57207947264; 55561680100; 57207944412; 55663329200; 36116647100","Study of poly (N-isopropyl acrylamide) electrospinning magnetic fiber as a cell attach/detach substrate",2019,"AIP Advances",9,"3", 035339,,,,,10.1063/1.5080049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063335322&partnerID=40&md5=49622cdf890703493aedfec5a9124da4",Article,Final,Open Access,Scopus,2-s2.0-85063335322
"Mahmood, K., Kamilah, H., Sudesh, K., Karim, A.A., Ariffin, F.","56642422300; 36859449400; 6602451896; 57213570102; 57191154972","Study of electrospun fish gelatin nanofilms from benign organic acids as solvents",2019,"Food Packaging and Shelf Life",19,"",,66,75,,1,10.1016/j.fpsl.2018.11.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058381898&partnerID=40&md5=61c968643029949100c4caf816723e50",Article,Final,,Scopus,2-s2.0-85058381898
"Lin, B., Li, Z.-T., Yang, Y., Li, Y., Lin, J.-C., Zheng, X.-M., He, F.-A., Lam, K.-H.","56956174100; 57195549052; 57192547874; 57202364565; 57204085949; 57193165994; 7201951958; 36919957700","Enhanced dielectric permittivity in surface-modified graphene/PVDF composites prepared by an electrospinning-hot pressing method",2019,"Composites Science and Technology",172,"",,58,65,,14,10.1016/j.compscitech.2019.01.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060101576&partnerID=40&md5=85dd943bf91b3cf096d7069b94ac2dc0",Article,Final,,Scopus,2-s2.0-85060101576
"Chen, H., Yang, J., Chen, H., Jin, Y., Guo, J., Chen, F., Zhou, N.","55268916800; 57200016276; 7501622842; 57210342674; 57210345302; 36719950600; 52063925300","In<inf>2</inf>S<inf>3</inf>-TiO<inf>2</inf> heterojunction/electrospinning fiber composites for efficient photocatalytic hydrogen production",2019,"Optoelectronics and Advanced Materials, Rapid Communications",13,"3-4",,262,266,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070377305&partnerID=40&md5=55bc1e794fce2da4ae0872bde00c2e9a",Article,Final,,Scopus,2-s2.0-85070377305
"Wu, N., Ju, S., Wang, Y., Chen, D.","56413941600; 16678777100; 7601512018; 57205129050","Fabrication of Ni@SiC composite nanofibers by electrospinning and autocatalytic electroless plating techniques",2019,"Results in Physics",12,"",,853,858,,1,10.1016/j.rinp.2018.12.051,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058710227&partnerID=40&md5=3fe0513635198a6b62d84d89bf258193",Article,Final,Open Access,Scopus,2-s2.0-85058710227
