PVKinSU8_01_dia,PVKinSU8_02_dia,PVKinSU8_06_dia,PVKinSU8_05_dia,PVKinSU8_04_dia,PVKinSU8_10_gap,PVKinSU8_10_gap_x2,PVKinCHL_07_dia,PVKinCHL_05_dia,PVKinCHL_02_dia,PVKinCHL_06_dia,PVKinCHL_03_dia,PVKinCHL_08_09_10_gap,PSinTHF_07_dia,PSinTHF_05_dia,PSinTHF_06_dia,PSinTHF_04_dia,PSinTHF_03_dia,PSinTHF_08_09_gap,PSBinTHFDMF_06_dia,PSBinTHFDMF_00_dia,PSBinTHFDMF_02_dia,PSBinTHFDMF_03_dia,PSBinTHFDMF_04_dia,PSBinTHFDMF_08_10_gap,PEOinSU8_00_dia,PEOinSU8_05_dia,PEOinSU8_04_dia,PEOinSU8_02_dia,PEOinSU8_06_dia,PEOinSU8_08_gap,PEOinSU8_08_gap_x5
2021.51,2331.72,2409.63,2884.71,2974.01,50.96,50.96,1004.78,2067.98,2209.93,2680,3342.12,81.1,1908.36,2464.49,2666.16,4951.03,5410.29,53.39,2123.36,1923.66,1859.32,1909.55,1799.76,55.12,1995.61,2336.27,3415.97,3141.5,3796.87,41.93,41.93
2069.54,2333.71,2319.39,2645.97,2998.47,51.55,51.55,1004.78,1863.02,2403.03,2700.51,3391.55,80.73,1932.51,2392.23,2784.58,4799.31,5249.48,54.75,2182.02,2019.35,1820.19,1876.58,1901.14,55.11,2089.64,2336.27,3395.59,3381.64,3917.35,11.22,56.1
1952.44,2332.22,2413.96,2741.33,3094.36,50.96,50.96,958.13,2284.85,2378.63,2582.36,3255.95,81.08,1909.58,2489.71,2832.9,4743.5,5119.45,54.67,2222.36,2116.59,1915.92,1909.55,2117.77,56.35,1966.62,2603.52,3101.77,3430.2,3844.28,11,55
1973.49,2283.65,2266.21,2576.15,3069.92,29.3,58.6,983.48,2150.95,2356.36,2680,3427.74,81.5,1666.84,2415.12,2542.8,4717.72,4841.58,54.41,1913.96,2142.77,1811.24,1806.1,2211.88,57.16,1969.76,2384.55,3197.63,3454.78,3869.84,8.94,44.7
1900.4,2308.19,2315.25,2624.15,3213.79,30.16,60.32,1124.4,1946.93,2259.36,2748.67,3655.82,80.89,1908.21,2365.85,2542.34,4817.81,4774.11,53.45,2254.4,2385.72,1933.12,1583.95,2294.49,61.1,1870.35,2434.18,3178.6,3550.96,3821.19,8.94,44.7
2115.52,2307.81,2433.85,2502.88,3141.85,31.13,62.26,1076.55,1915.67,2504.23,2722.88,3397.94,80.51,1715.65,2487.8,2639.31,5115.76,5021.58,56.07,2080.68,2355.86,1837.02,1678.11,2291.55,59.33,1868.93,2362.1,3018.16,3676.48,4113.07,9.37,46.85
2019.37,2525.86,2388.58,2356.87,3069.64,29.37,58.74,885.49,1939.13,2403.4,2702.66,3536.6,81.5,1933.72,2487.92,2374.83,4840.38,4847.6,57,1786.71,2043.39,1885.07,1672.92,2190.04,60.1,1854.85,2482.23,3262.66,3436.74,4136.32,9.15,45.75
2043.26,2048.35,2289.28,2501.84,3238.21,28.07,56.14,980.86,1842.86,2306.33,2582.36,3517.84,33.68,1765.92,2589.5,2494.04,4625.99,5180.23,56.04,1775.46,2043.25,2008.68,1649.32,2089.2,60.7,1676.34,2337.79,3302.38,3262.21,3870.53,10.96,54.8
1947.26,2211.53,2313.75,2355.89,3214.23,28.8,57.6,1052.9,2144.16,2477.62,2602.85,3562.89,32.85,1841.46,2439.5,2568.38,4726.77,4977.59,56.74,1942.71,2164.64,2158.07,1696.52,2286.43,60.53,1848.65,2409.25,2980.82,3311.29,4047.79,23.66,23.66
2093.55,2356.87,2313.25,2216.23,3093.62,26.84,53.68,1052.63,1951.12,2451.93,2602.51,3182.17,32.7,1836.38,2440.97,2522.32,4775.13,5111.18,56.75,1806.43,2115.91,2136.98,1987.03,2291.55,52.7,1731.66,2408.76,3129.39,3466.16,3747.27,2.22,11.1
