Filename,ps_thf_00_2,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,11/12/2019,,,,,,,,,,
Sample name,OSKT 2_PS_THF,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0310976,0.998553328,0.022421091,310.575,20,-230.919,-0.326454,20.0168,-264.477,310.575,1.75853,0.0162586
0.0324595,1.100968898,0.022470668,317.587,20,-232.541,-0.328748,20.0231,-212.338,317.587,1.83554,0.0182089
0.0356871,1.220578131,0.022212418,324.6,20,-233.768,-0.330482,20.0267,-170.202,324.6,2.01806,0.0203919
0.0417886,1.349296486,0.021855575,331.547,20,-234.507,-0.331527,20.0287,-136.442,331.547,2.36309,0.0228114
0.0481386,1.487086091,0.021891823,338.493,20,-235.559,-0.333014,20.024,-109.511,338.493,2.72218,0.0255194
0.0559288,1.633853894,0.022544312,345.44,20,-235.718,-0.333238,20.0224,-87.5559,345.44,3.1627,0.0285497
0.0665491,1.800211784,0.022972829,352.453,20,-236.582,-0.334459,20.0262,-70.0611,352.453,3.76326,0.0319742
0.0705749,1.998103496,0.022846715,359.465,20,-237.194,-0.335326,20.0225,-56.0155,359.465,3.99092,0.0358052
0.0780372,2.20321761,0.022794183,366.412,20,-237.583,-0.335875,20.0191,-44.83,366.412,4.4129,0.0400564
0.0862119,2.469980931,0.022653404,373.359,20,-237.58,-0.335871,20.0329,-35.8193,373.359,4.87517,0.044812
0.0983862,2.748288112,0.022204851,380.371,20,-238.596,-0.337307,20.0279,-28.6824,380.371,5.56361,0.0501848
0.109402,3.051408398,0.02173533,387.383,20,-237.726,-0.336077,20.0335,-22.7869,387.383,6.18653,0.056201
0.123115,3.357322827,0.021729425,394.33,20,-237.519,-0.335785,20.025,-18.1931,394.33,6.96199,0.0628702
0.149799,3.688565458,0.022315191,401.277,20,-238.451,-0.337102,20.0163,-14.5926,401.277,8.47092,0.0703365
0.163126,4.070017269,0.022922527,408.224,20,-239.791,-0.338996,20.0202,-11.7253,408.224,9.22457,0.0786871
0.166681,4.480906626,0.023417929,415.236,20,-240.348,-0.339784,20.0267,-9.37195,415.236,9.42556,0.0881158
0.191168,4.921729219,0.023809348,422.248,20,-239.979,-0.339263,20.0232,-7.4606,422.248,10.8103,0.0986844
0.213884,5.43377778,0.024309832,429.195,20,-241.939,-0.342033,20.027,-6.01022,429.195,12.0949,0.110397
0.239568,5.990301631,0.024706741,436.142,20,-241.557,-0.341494,20.0315,-4.79488,436.142,13.5473,0.123501
0.276537,6.598652241,0.024901334,443.154,20,-240.014,-0.339312,20.0242,-3.79855,443.154,15.6378,0.138311
0.314432,7.255728258,0.025185915,450.167,20,-240.132,-0.339479,20.0309,-3.03037,450.167,17.7807,0.154891
0.365303,7.964537327,0.02557296,457.114,20,-239.816,-0.339032,20.0185,-2.41823,457.114,20.6574,0.173276
0.400679,8.729615071,0.025872857,464.06,20,-242.16,-0.342345,20.0278,-1.95118,464.06,22.6579,0.193843
0.44981,9.633437516,0.026001847,471.073,20,-241.466,-0.341365,20.0276,-1.55122,471.073,25.4361,0.21709
0.513612,10.80067637,0.026200529,478.085,20,-239.419,-0.338471,20.0159,-1.22644,478.085,29.044,0.243111
0.588857,11.93862802,0.026424104,485.032,20,-239.932,-0.339197,20.0216,-0.982062,485.032,33.2991,0.271972
0.651139,13.44909207,0.026650253,491.979,20,-241.641,-0.341612,20.0222,-0.79031,491.979,36.8211,0.304253
0.730101,14.86607894,0.026877665,498.926,20,-242.38,-0.342656,20.0175,-0.633409,498.926,41.2863,0.340372
0.831602,16.78765551,0.027048396,505.938,20,-239.578,-0.338696,20.0286,-0.499196,505.938,47.026,0.381185
0.923743,18.32081741,0.027034824,512.95,20,-242.311,-0.342559,20.0212,-0.402588,512.95,52.2365,0.426878
1.05083,20.57560581,0.02678985,519.897,20,-239.988,-0.339275,20.0194,-0.318603,519.897,59.423,0.47755
1.17273,22.99681093,0.026232997,526.844,20,-241.19,-0.340974,20.0129,-0.25585,526.844,66.3161,0.534239
1.32565,25.79346532,0.025278856,533.856,20,-242.633,-0.343015,20.0225,-0.205215,533.856,74.9637,0.598301
1.49004,29.14554484,0.024132769,540.869,20,-239.94,-0.339207,20.0085,-0.161818,540.869,84.2601,0.670019
1.6636,32.52786677,0.022984199,547.815,20,-242.742,-0.343168,20.0136,-0.130809,547.815,94.0743,0.749552
1.84832,36.5174552,0.021822968,554.762,20,-242.96,-0.343476,20.0206,-0.104615,554.762,104.52,0.838528
2.01304,41.05078512,0.02077784,561.709,20,-241.385,-0.341251,20.0148,-0.0830496,561.709,113.835,0.93807
2.17236,45.75000843,0.020159602,568.721,20,-242.635,-0.343017,20.0131,-0.0665596,568.721,122.844,1.05056
2.33551,48.94159564,0.020066033,575.734,20,-242.658,-0.343049,20.0196,-0.0530784,575.734,132.07,1.17649
