Filename,peo_su8_00_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,12/12/2019,,,,,,,,,,
Sample name,OSKT 000_PEO_SU8,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.018487,0.0227075,121.915,310.575,20,-54.9582,-0.0776953,20.0159,-62.9378,310.575,1.04542,0.0162596
0.0198882,0.0234522,118.06,317.587,20,-54.9124,-0.0776306,20.0196,-50.1434,317.587,1.12465,0.0182086
0.0215051,0.023594,139.998,324.6,20,-55.2446,-0.0781002,20.0276,-40.2257,324.6,1.21609,0.0203911
0.0235123,0.0254097,130.738,331.547,20,-55.4057,-0.0783279,20.0297,-32.2359,331.547,1.32959,0.0228116
0.0259279,0.0262059,126.872,338.493,20,-55.3886,-0.0783038,20.0273,-25.7507,338.493,1.46619,0.025519
0.0286996,0.0267881,122.517,345.44,20,-56.0173,-0.0791926,20.0248,-20.8047,345.44,1.62292,0.0285515
0.0321077,0.0284196,118.315,352.453,20,-55.7124,-0.0787616,20.0175,-16.4999,352.453,1.81565,0.031973
0.0359881,0.028902,116.932,359.465,20,-55.6235,-0.0786358,20.0222,-13.134,359.465,2.03508,0.035808
0.0404697,0.0305121,111.276,366.412,20,-55.5021,-0.0784642,20.0154,-10.4732,366.412,2.28851,0.0400555
0.0454683,0.0305984,110.085,373.359,20,-55.5257,-0.0784976,20.0261,-8.37108,373.359,2.57117,0.0448131
0.0514439,0.031792,105.182,380.371,20,-55.8476,-0.0789526,20.0375,-6.71362,380.371,2.90908,0.0501848
0.0581242,0.0347187,83.6208,387.383,20,-55.8331,-0.0789321,20.028,-5.35227,387.383,3.28684,0.0561985
0.0650171,0.0349508,98.6699,394.33,20,-56.8202,-0.0803277,20.0154,-4.35175,394.33,3.67663,0.0628735
0.0724977,0.035526,96.1401,401.277,20,-56.921,-0.0804701,20.0186,-3.48354,401.277,4.09965,0.0703354
0.079827,0.0356005,94.9616,408.224,20,-56.29,-0.079578,20.0185,-2.75257,408.224,4.51411,0.0786855
0.087573,0.0398498,87.7464,415.236,20,-57.1466,-0.0807891,20.0332,-2.22809,415.236,4.95214,0.0881207
0.0988125,0.0399223,102.159,422.248,20,-57.1943,-0.0808565,20.0272,-1.77817,422.248,5.58771,0.0986821
0.113138,0.0413639,83.9404,429.195,20,-57.711,-0.081587,20.0261,-1.43364,429.195,6.3978,0.110397
0.125499,0.0426546,81.5249,436.142,20,-57.2141,-0.0808845,20.0333,-1.13568,436.142,7.09681,0.123502
0.139759,0.044595,78.3514,443.154,20,-57.8565,-0.0817928,20.0195,-0.91565,443.154,7.9032,0.138312
0.157252,0.0456009,75.7098,450.167,20,-58.4898,-0.082688,20.0322,-0.738109,450.167,8.89241,0.154892
0.175982,0.048161,86.1528,457.114,20,-58.5954,-0.0828373,20.0187,-0.59085,457.114,9.95154,0.173277
0.194615,0.049902,83.2453,464.06,20,-58.5297,-0.0827444,20.0325,-0.471584,464.06,11.0052,0.193846
0.220426,0.0520872,67.9615,471.073,20,-58.5028,-0.0827065,20.0252,-0.37583,471.073,12.4648,0.217091
0.24576,0.0531375,66.163,478.085,20,-59.2243,-0.0837264,20.0192,-0.303376,478.085,13.8974,0.243113
0.275476,0.055883,63.2752,485.032,20,-60.167,-0.0850591,20.0273,-0.246267,485.032,15.5778,0.271972
0.307157,0.056075,74.934,491.979,19.99,-59.0106,-0.0834243,20.0287,-0.192996,491.979,17.3693,0.304256
0.343915,0.0594962,70.0933,498.926,20.01,-59.8715,-0.0846413,20.023,-0.156461,498.926,19.4479,0.340373
0.384822,0.0624923,67.3852,505.938,20,-59.7908,-0.0845273,20.0393,-0.124581,505.938,21.7611,0.381189
0.431452,0.064315,55.5632,512.95,20,-60.3411,-0.0853052,20.0301,-0.100253,512.95,24.398,0.42688
0.482061,0.0652895,54.7318,519.897,20,-60.3949,-0.0853813,20.0326,-0.0801772,519.897,27.2599,0.477555
0.539557,0.0679591,52.8854,526.844,20,-60.8022,-0.0859571,20.0259,-0.0644973,526.844,30.5113,0.534241
0.603791,0.0699297,60.7423,533.856,20,-61.4258,-0.0868386,20.0292,-0.051952,533.856,34.1436,0.598305
0.675802,0.0760182,56.4642,540.869,20,-61.0905,-0.0863647,20.0196,-0.0411994,540.869,38.2157,0.670023
0.75634,0.0776257,55.3461,547.815,20,-62.0436,-0.0877121,20.0114,-0.0334337,547.815,42.77,0.749557
0.845483,0.0782158,54.0071,554.762,20,-60.9535,-0.086171,20.0138,-0.0262455,554.762,47.8109,0.838534
0.945607,0.0782476,45.8636,561.709,20,-61.9098,-0.0875229,20.0168,-0.0213002,561.709,53.4728,0.938072
1.0585,0.0875746,49.2681,568.721,20,-62.0033,-0.0876552,20.019,-0.0170087,568.721,59.8566,1.05056
1.18532,0.0885099,48.9343,575.734,20,-62.0983,-0.0877894,20.0281,-0.0135832,575.734,67.0284,1.17649
1.32564,0.0886673,48.2812,582.681,20,-63.0523,-0.0891381,20.0293,-0.0110203,582.681,74.9634,1.31614
1.48224,0.0957386,45.3911,589.627,20,-61.3649,-0.0867526,20.0251,-8.57E-03,589.627,83.8189,1.47237
1.65592,0.0980813,44.6956,596.509,20,-63.5595,-0.0898551,20.0309,-7.11E-03,596.509,93.6403,1.64538
,0.101279,43.163,,,,,,,,,
,0.103054,42.4957,,,,,,,,,
,0.10986,40.0018,,,,,,,,,
,0.115686,32.3614,,,,,,,,,
,0.119,31.4469,,,,,,,,,
,0.119989,31.1983,,,,,,,,,
,0.122907,36.38,,,,,,,,,
,0.132141,33.8717,,,,,,,,,
,0.137503,32.5256,,,,,,,,,
,0.139706,31.9542,,,,,,,,,
,0.147,26.0604,,,,,,,,,
,0.150937,25.6299,,,,,,,,,
,0.154081,29.474,,,,,,,,,
,0.162663,27.9709,,,,,,,,,
,0.172406,26.6637,,,,,,,,,
,0.172471,26.3265,,,,,,,,,
,0.182,21.4688,,,,,,,,,
,0.189392,24.402,,,,,,,,,
,0.192999,24.0732,,,,,,,,,
,0.19693,23.5138,,,,,,,,,
,0.215919,21.783,,,,,,,,,
,0.220514,18.1216,,,,,,,,,
,0.224941,17.978,,,,,,,,,
,0.225,21.1228,,,,,,,,,
,0.241835,19.612,,,,,,,,,
,0.25675,18.3818,,,,,,,,,
,0.256937,18.3098,,,,,,,,,
,0.270808,17.6997,,,,,,,,,
,0.273,17.7854,,,,,,,,,
,0.293485,16.4843,,,,,,,,,
,0.298941,16.2127,,,,,,,,,
,0.30298,15.9848,,,,,,,,,
,0.329,12.6889,,,,,,,,,
,0.33523,12.6318,,,,,,,,,
,0.338976,14.6328,,,,,,,,,
,0.348064,14.2745,,,,,,,,,
,0.379237,13.1385,,,,,,,,,
,0.382914,11.2892,,,,,,,,,
,0.40526,10.5587,,,,,,,,,
,0.411,10.4322,,,,,,,,,
,0.424733,11.9477,,,,,,,,,
,0.43738,11.616,,,,,,,,,
,0.471854,10.8176,,,,,,,,,
,0.475616,9.22056,,,,,,,,,
,0.499594,8.91086,,,,,,,,,
,0.508,8.66688,,,,,,,,,
,0.532122,9.75197,,,,,,,,,
,0.549392,8.15971,,,,,,,,,
,0.570657,7.87815,,,,,,,,,
,0.595331,7.6424,,,,,,,,,
,0.633,7.16479,,,,,,,,,
,0.63967,6.09593,,,,,,,,,
,0.651829,6.05171,,,,,,,,,
,0.666766,7.00825,,,,,,,,,
,0.744546,6.18181,,,,,,,,,
,0.744784,5.34019,,,,,,,,,
,0.746633,5.42539,,,,,,,,,
,0.771,5.19563,,,,,,,,,
,0.835243,5.61842,,,,,,,,,
,0.850451,4.84849,,,,,,,,,
,0.86717,4.78752,,,,,,,,,
,0.927,4.41857,,,,,,,,,
,0.934405,5.17603,,,,,,,,,
,0.971421,4.36695,,,,,,,,,
,1.00967,4.19284,,,,,,,,,
,1.04648,4.01708,,,,,,,,,
,1.09,3.34138,,,,,,,,,
,1.1096,3.3457,,,,,,,,,
,1.17189,3.177,,,,,,,,,
,1.17558,3.69752,,,,,,,,,
,1.26743,2.92439,,,,,,,,,
,1.31106,2.87114,,,,,,,,,
,1.32,2.90504,,,,,,,,,
,1.36876,2.44565,,,,,,,,,
,1.44771,2.32536,,,,,,,,,
,1.46664,2.66329,,,,,,,,,
,1.53,2.56635,,,,,,,,,
