Filename,psb_thfdmf_00_7,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,11/12/2019,,,,,,,,,,
Sample name,OSKT 7_PSB_THFDMF,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0377197,0.23526888,0.035771828,303.628,20,-34.2466,-0.0484151,20.0345,-49.0828,303.628,2.133,0.0145343
0.0419232,0.249539247,0.034801159,310.575,20,-34.8908,-0.0493258,20.0298,-39.9678,310.575,2.3707,0.0162573
0.0477884,0.272297417,0.033447772,317.587,20,-35.186,-0.049743,20.0302,-32.1303,317.587,2.70237,0.0182086
0.0529511,0.304974981,0.031758617,324.6,20,-35.5681,-0.0502832,20.0272,-25.8945,324.6,2.99431,0.0203927
0.0566823,0.340904194,0.030212698,331.547,20,-35.897,-0.0507482,20.0254,-20.8839,331.547,3.20531,0.0228124
0.059859,0.374938034,0.029027139,338.493,20,-36.5879,-0.0517249,20.025,-17.0099,338.493,3.38495,0.0255192
0.0613891,0.405848849,0.028180188,345.44,20,-37.1656,-0.0525417,20.0268,-13.8038,345.44,3.47147,0.0285509
0.0611328,0.443340586,0.027377959,352.453,20,-36.8743,-0.0521297,20.0311,-10.9203,352.453,3.45698,0.0319737
0.0594432,0.481352929,0.026720396,359.465,20,-38.0379,-0.0537749,20.0287,-8.98141,359.465,3.36143,0.0358084
0.0639036,0.525096091,0.026011974,366.412,20,-37.9109,-0.0535952,20.0324,-7.15382,366.412,3.61366,0.0400554
0.0635841,0.5725666,0.025501167,373.359,20,-38.5688,-0.0545254,20.0285,-5.81464,373.359,3.59559,0.0448131
0.0671985,0.625479815,0.0250324,380.371,20,-37.2646,-0.0526815,20.0288,-4.47954,380.371,3.79998,0.0501857
0.0712175,0.68301705,0.024623957,387.383,20,-38.2478,-0.0540715,20.0155,-3.66634,387.383,4.02725,0.0561999
0.0740735,0.755870899,0.0242089,394.33,20,-37.8723,-0.0535407,20.0142,-2.90063,394.33,4.18876,0.0628728
0.0704535,0.818048307,0.023957976,401.277,20,-37.8047,-0.0534451,20.035,-2.31358,401.277,3.98405,0.0703361
0.0749467,0.89429803,0.023554144,408.224,20,-38.5517,-0.0545012,20.019,-1.88505,408.224,4.23813,0.078688
0.070905,0.983113449,0.023138079,415.236,20,-38.0335,-0.0537686,20.0271,-1.48291,415.236,4.00958,0.08812
0.0773058,1.077689182,0.022712751,422.248,20,-38.954,-0.0550699,20.0123,-1.21104,422.248,4.37154,0.0986837
0.0761896,1.176318051,0.022181423,429.195,20,-39.2343,-0.0554661,20.029,-0.974624,429.195,4.30842,0.110398
0.100584,1.290745446,0.021701364,436.142,20,-39.7292,-0.0561658,20.0289,-0.788647,436.142,5.68787,0.123499
0.111217,1.418557494,0.021152381,443.154,20,-39.3704,-0.0556586,20.0166,-0.623058,443.154,6.2892,0.138315
0.123996,1.547058793,0.02063444,450.167,20,-40.15,-0.0567607,20.0281,-0.506677,450.167,7.0118,0.154891
0.134515,1.684296158,0.02011309,457.114,20,-40.3831,-0.0570903,20.0241,-0.407207,457.114,7.60666,0.173277
0.143354,1.840711872,0.0195423,464.06,20,-41.9421,-0.0592942,20.0268,-0.337932,464.06,8.10649,0.193847
0.15689,2.013671559,0.018924041,471.073,20,-43.1754,-0.0610378,20.0265,-0.277369,471.073,8.87192,0.217089
0.184079,2.196554667,0.018237622,478.085,20.01,-41.7011,-0.0589535,20.025,-0.213607,478.085,10.4094,0.243116
0.202946,2.400765794,0.017533984,485.032,20,-41.8229,-0.0591257,20.0248,-0.171183,485.032,11.4763,0.271973
0.215646,2.670507935,0.016728571,491.979,20,-42.7724,-0.060468,20.0189,-0.139886,491.979,12.1945,0.304258
0.250794,2.898992466,0.016067729,498.926,20,-43.613,-0.0616564,20.032,-0.113974,498.926,14.182,0.340372
0.275562,3.298062386,0.015139611,505.938,20,-42.8515,-0.0605799,20.0225,-0.0892848,505.938,15.5827,0.381191
0.304769,3.580215271,0.014552706,512.95,20,-46.1563,-0.065252,20.0192,-0.0766858,512.95,17.2343,0.426881
0.341891,3.906370754,0.014134891,519.897,20,-45.8393,-0.0648037,20.012,-0.0608535,519.897,19.3335,0.477556
0.379025,4.272452155,0.013754274,526.844,20,-47.4547,-0.0670876,20.0242,-0.0503383,526.844,21.4333,0.534243
0.421172,4.654846346,0.01340247,533.856,20,-46.9601,-0.0663883,20.0239,-0.0397177,533.856,23.8167,0.598303
0.473846,5.072740969,0.013099113,540.869,20,-48.0316,-0.0679031,20.0228,-0.0323922,540.869,26.7953,0.670026
0.526265,5.490578549,0.012814915,547.815,20,-49.4153,-0.0698592,20.0166,-0.0266285,547.815,29.7596,0.749559
0.586631,6.051330125,0.012507698,554.762,20,-50.5746,-0.0714982,20.024,-0.0217764,554.762,33.1732,0.838536
0.654019,6.53796332,0.012297432,561.709,20,-50.0415,-0.0707445,20.0259,-0.0172168,561.709,36.9839,0.938075
0.729492,7.134190313,0.012078,568.721,20,-53.1793,-0.0751805,20.0252,-0.014588,568.721,41.2518,1.05056
