Filename,ps_thf_01_4,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,18/12/2019,,,,,,,,,,
Sample name,PS_THF_01_4,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
2.38435,4.730759537,8.173583736,327.746,20,-33.4952,-0.0473528,20.0297,-275.917,327.746,134.832,6.06E-03
2.63956,5.361947045,8.218473908,335.151,20,-26.5292,-0.0375047,20.0088,-181.865,335.151,149.264,6.65E-03
2.91896,6.095968077,8.263565047,342.491,20,-33.5758,-0.0474667,20.0049,-191.895,342.491,165.063,7.28E-03
3.22466,6.931969115,8.289672623,349.831,20,-32.7056,-0.0462364,20.011,-155.819,349.831,182.35,7.97E-03
3.55719,7.837279049,8.321508624,357.171,20,-28.6977,-0.0405704,20.0205,-113.993,357.171,201.155,8.73E-03
3.91914,8.739150566,8.338057876,364.511,20,-29.971,-0.0423705,20.0251,-99.2474,364.511,221.622,9.56E-03
4.31034,9.890054981,8.357023134,371.917,20,-28.7176,-0.0405986,20.032,-79.1337,371.917,243.744,0.0104819
4.73434,11.32840887,8.369880625,379.322,20.01,-31.9822,-0.0452138,20.0225,-73.3605,379.322,267.721,0.0114887
5.18576,12.85638888,8.353071843,386.662,20,-33.1317,-0.0468389,20.0305,-63.3444,386.662,293.248,0.0125839
5.66833,14.24254612,8.348553766,394.002,20,-35.794,-0.0506026,20.0261,-57.0566,394.002,320.537,0.0137816
6.18183,16.20028228,8.321860678,401.342,20,-34.334,-0.0485385,20.0223,-45.6209,401.342,349.574,0.0150948
6.72806,18.32670671,8.282532163,408.683,20,-31.2714,-0.0442089,20.002,-34.6434,408.683,380.463,0.0165315
7.31822,20.53180284,8.242554543,416.088,20,-25.75,-0.0364033,20.016,-23.7431,416.088,413.835,0.0181204
7.94757,23.09435421,8.182270447,423.494,20,-16.2896,-0.0230289,20.03,-12.5,423.494,449.424,0.0198632
8.60339,26.44898301,8.110591755,430.834,20,-15.6802,-0.0221674,20.0259,-10.0313,430.834,486.511,0.0217543
9.28507,29.60385433,8.039873536,438.174,20,-24.3931,-0.034485,20.0291,-13.0091,438.174,525.058,0.0238264
10.0142,33.33134943,7.96258863,445.514,20,-36.1152,-0.0510567,20.0259,-16.0578,445.514,566.291,0.0260945
10.7965,37.63680165,7.880385939,452.854,20,-42.6988,-0.060364,20.0239,-15.8255,452.854,610.526,0.028581
11.6412,42.43702555,7.801832506,460.259,20,-40.369,-0.0570703,20.0105,-12.4537,460.259,658.293,0.0313273
12.5427,47.78037722,7.726835818,467.665,20,-29.2821,-0.0413966,20.0151,-7.51849,467.665,709.275,0.0343387
13.4908,53.85840076,7.640279854,475.005,20,-34.4648,-0.0487234,20.0055,-7.37729,475.005,762.885,0.0376086
14.5141,60.6219281,7.557406376,482.345,20,-39.386,-0.0556806,20.0176,-7.02835,482.345,820.755,0.0411901
15.64,67.84153803,7.486175302,489.685,20,-29.2952,-0.0414151,20.019,-4.35819,489.685,884.423,0.0451121
16.8854,76.81633341,7.423392363,497.025,20,-26.5075,-0.0374741,20.0307,-3.28754,497.025,954.846,0.049408
18.2787,86.70176526,7.35724367,504.431,20,-33.39,-0.047204,20.0318,-3.44661,504.431,1033.64,0.0541577
19.8365,99.73988523,7.28883577,511.836,20,-37.406,-0.0528814,20.0213,-3.21376,511.836,1121.73,0.0593625
21.5531,112.3073234,7.244545081,519.176,20,-31.758,-0.0448968,20.011,-2.27462,519.176,1218.8,0.065016
23.4573,127.553502,7.206830539,526.516,20,-23.3945,-0.0330732,20.016,-1.39693,526.516,1326.48,0.0712062
25.5679,144.8694116,7.169312336,533.856,20,-15.7904,-0.0223232,20.0297,-0.786027,533.856,1445.83,0.0779878
