Filename,psb_thfdmf_01_7,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,
Sample name,PSB_THFDMF_01_7,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0653887,0.898831965,0.030685799,342.491,20,36.366,0.0514112,20.0218,207.839,342.491,3.69765,7.28E-03
0.0716611,1.017289414,0.030704975,349.831,20,36.5164,0.0516239,20.0209,173.987,349.831,4.05234,7.97E-03
0.0796249,1.13271465,0.030704516,357.171,20,35.8308,0.0506545,20.0301,142.292,357.171,4.50268,8.73E-03
0.0896968,1.279257814,0.030607852,364.511,20,36.1553,0.0511134,20.0336,119.703,364.511,5.07223,9.56E-03
0.0995501,1.471396484,0.030423685,371.917,20,35.8417,0.05067,20.036,98.7581,371.917,5.62943,0.0104823
0.107585,1.665420344,0.030291762,379.322,20,36.1042,0.0510411,20.0282,82.8039,379.322,6.08381,0.0114895
0.115551,1.884052224,0.030244611,386.662,20,35.8596,0.0506954,20.0233,68.5587,386.662,6.53425,0.012584
0.123604,2.183563105,0.030299265,394.002,20,35.9686,0.0508494,20.0238,57.327,394.002,6.98964,0.0137826
0.133586,2.446432982,0.030305702,401.342,20,36.6736,0.051846,20.0196,48.7361,401.342,7.55409,0.0150938
0.146557,2.757571828,0.030305198,408.683,20,35.346,0.0499692,20.0239,39.1509,408.683,8.28759,0.0165328
0.161749,3.074635669,0.030304739,416.088,20,35.8273,0.0506496,20.0235,33.0325,416.088,9.14672,0.0181211
0.179957,3.527508192,0.030346987,423.494,20,35.6546,0.0504054,20.03,27.3603,423.494,10.1763,0.019863
0.198207,3.949183962,0.030365998,430.834,20,35.0979,0.0496184,20.0243,22.4507,430.834,11.2084,0.0217557
0.212448,4.492000308,0.030407066,438.174,20,34.5265,0.0488106,20.0176,18.4127,438.174,12.0137,0.0238268
0.222704,5.072488466,0.030396144,445.514,20,35.4283,0.0500856,20.02,15.7507,445.514,12.5936,0.026096
0.237905,5.788047636,0.030368283,452.854,20,35.176,0.0497289,20.0319,13.038,452.854,13.4532,0.0285803
0.266889,6.444779884,0.030363931,460.259,20,34.892,0.0493274,20.0266,10.7614,460.259,15.0922,0.0313312
0.296042,7.264430939,0.030363426,467.665,20,34.4448,0.0486952,20.0269,8.84344,467.665,16.7408,0.0343399
0.324391,8.188325717,0.03036292,475.005,20,33.5619,0.047447,20.0171,7.1836,475.005,18.3439,0.0376097
0.353711,9.229721999,0.030362415,482.345,20,34.2896,0.0484757,20.0266,6.11941,482.345,20.0019,0.0411884
0.38967,10.4035637,0.03036191,489.685,20,33.9353,0.0479749,20.0282,5.04776,489.685,22.0353,0.0451154
0.421135,11.7266953,0.030361405,497.025,20,34.3601,0.0485755,20.025,4.26165,497.025,23.8146,0.0494068
0.4669,13.2181036,0.0303609,504.431,20,33.4365,0.0472698,20.0297,3.45094,504.431,26.4026,0.0541614
0.506482,14.89919011,0.030360394,511.836,20,34.1707,0.0483078,20.0218,2.93556,511.836,28.6409,0.0593649
0.563976,16.79407824,0.030359889,519.176,20,35.7533,0.0505451,20.0164,2.56055,519.176,31.8921,0.0650189
0.620564,18.9299594,0.030359384,526.516,20,34.2928,0.0484802,20.0176,2.04753,526.516,35.0921,0.071209
0.677399,21.33748324,0.030358879,533.856,20,35.0117,0.0494967,20.0308,1.74277,533.856,38.306,0.0779894
0.742414,24.05119743,0.030358374,541.196,20,35.0993,0.0496204,20.0266,1.45647,541.196,41.9825,0.0854173
0.81467,27.11004346,0.030357869,548.602,20,34.7885,0.0491811,20.0156,1.2015,548.602,46.0685,0.0936278
0.888706,30.55791539,0.030357364,556.007,20,34.8685,0.0492941,20.0216,1.00233,556.007,50.2551,0.102626
0.970089,34.4442898,0.030356858,563.347,20,34.6073,0.0489249,20.0276,0.829352,563.347,54.8572,0.112399
1.06146,38.82493568,0.030356353,570.688,20,34.1146,0.0482283,20.0225,0.681544,570.688,60.024,0.123104
1.16202,43.49890458,0.030348946,578.028,20,35.8048,0.0506178,20.0274,0.596373,578.028,65.7107,0.134822
1.28157,49.32848367,0.030324182,585.368,20,33.9672,0.04802,20.019,0.471626,585.368,72.4711,0.147666
1.40522,55.60211045,0.030323677,592.773,20,35.3852,0.0500246,20.0205,0.408921,592.773,79.4632,0.16186
1.53732,62.67362092,0.030323173,600.179,20,34.0574,0.0481475,20.02,0.327599,600.179,86.9334,0.177412
1.67839,70.64449043,0.030322668,607.519,20,33.9383,0.0479791,20.0227,0.272154,607.519,94.9105,0.194306
1.83617,80.28174788,0.030298781,614.859,20,35.4257,0.0500819,20.0275,0.236824,614.859,103.833,0.212812
2.01944,89.75637774,0.030290532,622.199,20,34.127,0.0482459,20.0227,0.190191,622.199,114.197,0.233079
2.20989,100.7595738,0.030278382,629.539,20,34.9749,0.0494446,20.0144,0.162498,629.539,124.966,0.255272
2.41631,114.0387212,0.030258431,636.944,20,34.6527,0.0489891,20.0225,0.134,636.944,136.639,0.279811
2.65379,126.4607708,0.030257996,644.35,20,33.4964,0.0473544,20.0232,0.10781,644.35,150.068,0.306703
2.90651,144.365626,3.02E-02,651.69,20,35.5214,0.0502172,20.0253,0.0953119,651.69,164.359,0.335908
3.17824,162.810492,0.030177129,659.03,20,33.8016,0.0477859,20.0278,0.0756108,659.03,179.725,0.367896
3.48622,183.2317202,0.030114709,666.37,20,34.2136,0.0483684,20.0222,0.0638027,666.37,197.141,0.402929
3.81209,208.9171377,3.01E-02,673.71,20,35.0372,0.0495326,20.0277,0.0544706,673.71,215.568,0.441298
4.18319,236.4504166,3.00E-02,681.116,20,33.3502,0.0471478,20.0232,0.0431526,681.116,236.554,0.483721
4.58074,266.5223255,0.030038122,688.521,20,34.6021,0.0489176,20.026,0.0372656,688.521,259.035,0.530207
5.01657,300.4187981,0.030037623,695.861,20,33.8061,0.0477922,20.0255,0.0303523,695.861,283.68,0.580697
5.49587,340.01112,3.00E-02,703.201,20,33.0254,0.0466886,20.0249,0.0247193,703.201,310.784,0.635996
6.01575,377.5612736,3.00E-02,710.541,20,36.0473,0.0509606,20.0232,0.0224933,710.541,340.182,0.69656
6.58527,426.7392832,3.00E-02,717.881,20,33.1069,0.0468038,20.0263,0.0172223,717.881,372.388,0.76289
7.2162,484.9546701,2.99E-02,725.287,20,33.7892,0.0477684,20.0232,0.0146294,725.287,408.066,0.836226
7.90696,546.6315022,2.99E-02,732.693,20,34.4437,0.0486936,20.0259,0.0124124,732.693,447.128,0.916591
8.6542,622.8950067,2.99E-02,740.033,20,31.9949,0.0452317,20.0239,9.61E-03,740.033,489.384,1.00388
9.47169,704.9866059,2.99E-02,747.373,20,34.4694,0.04873,20.0278,8.63E-03,747.373,535.611,1.09947
10.3691,788.9534678,2.98E-02,754.713,20,33.7904,0.04777,20.0254,7.06E-03,754.713,586.361,1.20417
11.3485,898.1514127,2.98E-02,762.053,20,32.7116,0.0462449,20.0203,5.69E-03,762.053,641.74,1.31884
12.4307,1020.213661,2.97E-02,769.458,20,35.0863,0.0496021,20.021,5.08E-03,769.458,702.938,1.44562
13.6112,1179.007659,2.97E-02,776.864,20,32.1589,0.0454636,20.0174,3.88E-03,776.864,769.696,1.58454
14.8933,1345.32637,2.96E-02,784.204,20,32.9351,0.0465609,20.0236,3.31E-03,784.204,842.199,1.73544
16.2945,1548.391008,2.96E-02,791.544,20,32.8706,0.0464697,20.0151,2.75E-03,791.544,921.433,1.9007
17.8236,1758.823331,2.95E-02,798.884,20,30.4695,0.0430753,20.0308,2.13E-03,798.884,1007.9,2.08169
19.4984,2039.967604,2.95E-02,806.224,20,34.8473,0.0492642,20.0242,2.03E-03,806.224,1102.61,2.27993
21.3397,2189.508868,2.95E-02,813.629,20.01,31.0943,0.0439585,20.0247,1.51E-03,813.629,1206.73,2.49909
