Polymer,Polymer Molecular Weight,Solvent,Solvent Surface Tension,Solvent Dielectric Constant,Solvent Boiling Point,Solvent Density,Solvent Vapour Pressure,NFES Type,Polymer Concentration,Nozzle Diameter,Solution Deposition Rate,Collector Substrate,Nozzle to Collector Distance,NFES Applied Voltage,NFES Stage Velocity,Fiber Diameter,Distance Between Fibers,Reference
PEO,200000.00,Water,72.8,80.1,99.974,1,2.3393,Suspension,14,250,10.8,Si,5.25,1600,150,300.00,300.00,Nagle 2019
PEO,400000.00,Water,72.8,80.1,99.974,1,2.3393,NFES,10,108,NA,Si,0.5,400,5,NA,50.00,Shin 2018
PEO,300000.00,Water,72.8,80.1,99.974,1,2.3393,NFES,8,400,NA,Si,0.5,1100,200,740.00,20.00,Fuh 2011
PVDF,534000.00,Nmethylpyrrolidone Acetone,NA,NA,NA,NA,NA,NFES,12,NA,80,Si,5,1200,30,42258.81,263.14,Lei 2015
PVDF,534000.00,NMethylpyrrolidone Acetone,NA,NA,NA,NA,NA,NFES,12,NA,80,Si,5,1200,30,63262.15,NA,Lei 2015
PCL,45001.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,3200,200,162540.00,NA,Parajuli 2017
PCL,45002.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,3500,200,168140.00,NA,Parajuli 2017
PCL,45003.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,3700,200,159740.00,NA,Parajuli 2017
PCL,45004.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,3800,200,162540.00,NA,Parajuli 2017
PCL,45005.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,5,NA,200,162540.00,NA,Parajuli 2017
PCL,45006.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,8,NA,200,156940.00,NA,Parajuli 2017
PCL,45007.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,10,NA,200,148530.00,NA,Parajuli 2017
PCL,45008.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,12,NA,200,130780.00,NA,Parajuli 2017
PCL,45009.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,14,NA,200,129850.00,NA,Parajuli 2017
PCL,45010.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,200,190660.00,NA,Parajuli 2017
PCL,45011.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,200,104920.00,NA,Parajuli 2017
PCL,45012.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,200,123080.00,NA,Parajuli 2017
PCL,45013.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,200,109300.00,NA,Parajuli 2017
PCL,45014.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,NFES,NA,NA,NA,NA,NA,NA,200,89680.00,NA,Parajuli 2017
PCL,45015.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,136040.00,NA,Parajuli 2017
PCL,45016.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,132160.00,NA,Parajuli 2017
PCL,45017.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,131370.00,NA,Parajuli 2017
PCL,45018.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,124510.00,NA,Parajuli 2017
PCL,45019.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,131840.00,NA,Parajuli 2017
PCL,45020.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,92820.00,NA,Parajuli 2017
PCL,45021.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,86760.00,NA,Parajuli 2017
PCL,45022.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,79270.00,NA,Parajuli 2017
PCL,45023.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,NA,NA,NA,NA,NA,NA,200,71680.00,NA,Parajuli 2017
PCL,45024.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,25,311,NA,NA,NA,NA,200,110800.00,NA,Parajuli 2017
PCL,45025.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,45,311,NA,NA,NA,NA,200,71220.00,NA,Parajuli 2017
PCL,45026.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,50,311,NA,NA,NA,NA,200,69250.00,NA,Parajuli 2017
PCL,45027.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,60,311,NA,NA,NA,NA,200,65890.00,NA,Parajuli 2017
PCL,45028.00,Dimethylformamide DMF,36.42,36.7,152.8,0.9445,0.49,Blow EDW,70,311,NA,NA,NA,NA,200,59960.00,NA,Parajuli 2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,2,1600,60,1860.00,NA,Fattahi 2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,26,NA,50,NA,2,1600,60,4730.00,NA,Fattahi 2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,50,NA,2,1600,60,1860.00,NA,Fattahi 2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,150,NA,2,1600,60,3960.00,NA,Fattahi 2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,NA,NA,1.6,1600,60,3810.00,NA,Fattahi 2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,NA,NA,NA,NA,2.4,1600,60,1540.00,NA,Fattahi 2017
