Polymer,Polymer Molecular Weight,Solvent,Solvent Surface Tension,Solvent Dielectric Constant,Solvent Boiling Point,Solvent Density,Solvent Vapour Pressure,NFES Type,Polymer Concentration,Nozzle Diameter,Solution Deposition Rate,Collector Substrate,Nozzle to Collector Distance,NFES Applied Voltage,NFES Stage Velocity,Fiber Diameter,Distance Between Fibers,Reference
PEO,30000,Ethanol/Water,72.8,80.1,99.974,1,2.3393,EDW,8,210,30,Si,2,2000,20,3718.5,169959.875,Jiang2018
PVDF,534000,Acetone/DMSO,NA,NA,NA,NA,NA,3D Electrospinning,17,100,14,Paper,0.75,1900,10,NA,NA,Kim2018
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,Si/SiO2,2.5,3500,133,65,NA,Min2013
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,Si/SiO2,2.5,3500,133,282.1,NA,Min2013
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,Si/SiO2,2.5,3500,133,706.6,NA,Min2013
PVK,1100000,Styrene,30.78,2.47,145.3,0.906,0.67,NFES,3.96,100,30,Si/SiO2,2.5,3500,133,NA,50,Min2013
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,1,2,NA,Si,0.03,475,2,61.74,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,2,2,NA,Si,0.03,475,2,69.93,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,3,2,NA,Si,0.03,475,2,79.31,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,4,2,NA,Si,0.03,475,2,113.3,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,5,2,NA,Si,0.03,475,2,138.99,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,5,2,NA,Si,0.02,400,2,167.49,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,5,2,NA,Si,0.02,425,2,117.68,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,5,2,NA,Si,0.02,450,2,99.99,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,5,2,NA,Si,0.02,475,2,68.11,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,5,2,NA,Si,0.02,500,2,57.32,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,NA,2,NA,Si,0.02,500,2,57.32,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,NA,2,NA,Si,0.03,500,2,112.2,NA,Song2015
PS,NA,"1,2,4-trichlorobenzene TCB",38.54,6.75,213.5,1.459,40,EHD jetting,NA,2,NA,Si,0.04,500,2,163.99,NA,Song2015
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,Si,0.5,1000,200,300,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,Si,0.5,598,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,Si,1,699,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,Si,2,902,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,Si,3,1204,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,SiO2,0.5,608,200,NA,25,Sun2006a
PEO,300000,NA,NA,NA,NA,NA,NA,NFES,3,NA,NA,SiO2,1,729,200,NA,25,Sun2006a
