Filename,peo_su8_01_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,28/01/2020,,,,,,,,,,
Sample name,PEO_SU8_01_000,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
9.55E-03,0.356826,0.0232015,327.746,20,-72.219,-0.102097,20.0184,-567.204,327.746,0.5401,6.21E-03
9.36E-03,0.391074,0.0223094,335.151,20,-72.4029,-0.102357,20.0164,-473.411,335.151,0.529405,6.80E-03
8.83E-03,0.428179,0.0214519,342.491,20,-72.0843,-0.101907,20.0113,-393.178,342.491,0.499173,7.45E-03
8.59E-03,0.469013,0.0206324,349.831,20,-72.7387,-0.102832,20.0132,-330.671,349.831,0.485813,8.16E-03
9.12E-03,0.513502,0.0200173,357.171,20,-72.4871,-0.102476,20.0112,-274.901,357.171,0.515469,8.93E-03
9.68E-03,0.56237,0.0194636,364.511,20,-72.6014,-0.102638,20.0249,-229.562,364.511,0.547514,9.79E-03
0.0104047,0.616216,0.0189024,371.917,20,-72.8614,-0.103005,20.0328,-191.881,371.917,0.588371,0.0107221
0.0114697,0.675212,0.0183615,379.322,20,-72.666,-0.102729,20.029,-159.386,379.322,0.648597,0.0117487
0.0122209,0.739566,0.0178585,386.662,20,-72.9228,-0.103092,20.016,-133.324,386.662,0.691077,0.0128684
0.0133988,0.809555,0.017199,394.002,20,-72.3299,-0.102254,20.0309,-110.363,394.002,0.757685,0.0140862
0.0141948,0.886743,0.0166629,401.342,20,-72.6224,-0.102667,20.0306,-92.3581,401.342,0.802698,0.0154293
0.0152529,0.970974,0.0162304,408.683,20,-72.9435,-0.103121,20.0275,-77.3698,408.683,0.862531,0.0168949
0.0166637,1.06411,0.0159209,416.088,20,-72.9585,-0.103143,20.0252,-64.4317,416.088,0.942308,0.0185155
0.0180713,1.16592,0.0157171,423.494,20,-73.1208,-0.103372,20.0247,-53.7906,423.494,1.02191,0.0202869
0.0197107,1.2768,0.0155405,430.834,20,-73.381,-0.10374,20.0181,-45.0128,430.834,1.11462,0.0222163
0.0216879,1.39834,0.0153869,438.174,20,-73.531,-0.103952,20.0227,-37.6049,438.174,1.22642,0.0243311
0.0237401,1.53086,0.0152483,445.514,20,-73.6793,-0.104162,20.027,-31.4394,445.514,1.34247,0.0266369
0.0254193,1.67664,0.0151031,452.854,20,-73.8483,-0.104401,20.0253,-26.2702,452.854,1.43743,0.0291734
0.0274611,1.83725,0.0149826,460.259,20,-73.2773,-0.103593,20.0254,-21.7087,460.259,1.55289,0.0319681
0.0295358,2.01341,0.0148699,467.665,20,-74.0813,-0.10473,20.0297,-18.2744,467.665,1.67021,0.0350333
0.0320004,2.20476,0.0147743,475.005,20,-73.5426,-0.103968,20.0336,-15.1292,475.005,1.80958,0.0383628
0.0345808,2.41425,0.0146889,482.345,20,-73.7982,-0.10433,20.0234,-12.6614,482.345,1.9555,0.0420078
0.0379419,2.64355,0.0146054,489.685,20,-74.0739,-0.10472,20.0204,-10.5997,489.685,2.14557,0.0459976
0.0414366,2.89473,0.0145287,497.025,20,-73.3773,-0.103735,20.0253,-8.75678,497.025,2.34318,0.0503683
0.0452153,3.17246,0.0144515,504.431,20,-73.4658,-0.10386,20.0251,-7.29949,504.431,2.55687,0.0552007
0.0493715,3.47647,0.0143685,511.836,20,-73.2658,-0.103577,20.0229,-6.0621,511.836,2.79189,0.0604905
0.0539165,3.80682,0.0142897,519.176,20,-73.0678,-0.103297,20.023,-5.04198,519.176,3.04891,0.0662386
0.0592098,4.16852,0.0142319,526.516,20,-73.1528,-0.103417,20.0266,-4.20985,526.516,3.34824,0.0725322
0.0655038,4.56457,0.0141814,533.856,20,-72.6418,-0.102695,20.0217,-3.48647,533.856,3.70415,0.0794234
0.0707531,4.99824,0.0141427,541.196,20,-72.9642,-0.103151,20.0225,-2.92062,541.196,4.001,0.0869692
0.0770438,5.47763,0.0141087,548.602,20,-73.9334,-0.104521,20.022,-2.46408,548.602,4.35673,0.0953106
0.0843119,6.00276,0.0140884,556.007,20,-74.4567,-0.105261,20.0241,-2.06634,556.007,4.76773,0.104448
0.0921583,6.57313,0.0140661,563.347,20,-74.5753,-0.105428,20.0304,-1.72604,563.347,5.21143,0.114372
0.100489,7.19765,0.014045,570.688,20,-73.7107,-0.104206,20.0298,-1.42282,570.688,5.68254,0.125239
0.109619,7.8814,0.0140265,578.028,20,-73.8759,-0.10444,20.028,-1.18931,578.028,6.19883,0.137136
0.120512,8.63007,0.0140107,585.368,20,-73.1668,-0.103437,20.0233,-0.982395,585.368,6.81479,0.150163
0.132734,9.45803,0.0139966,592.773,20,-73.5924,-0.104039,20.0245,-0.822682,592.773,7.50595,0.164569
0.144797,10.3648,0.0139801,600.179,20,-75.1177,-0.106195,20.0189,-0.699235,600.179,8.18809,0.180347
0.158052,11.3495,0.0139566,607.519,20,-74.0748,-0.104721,20.0293,-0.575063,607.519,8.9376,0.197481
0.172362,12.4277,0.0139419,614.859,20,-73.9246,-0.104508,20.0177,-0.47864,614.859,9.74685,0.216241
0.189701,13.6086,0.0139318,622.199,20,-73.8478,-0.1044,20.0226,-0.398758,622.199,10.7273,0.236789
0.207494,14.9012,0.0139219,629.539,20,-74.7406,-0.105662,20.0197,-0.336598,629.539,11.7335,0.259281
0.227172,16.3306,0.0139126,636.944,20,-74.7001,-0.105605,20.0221,-0.280103,636.944,12.8462,0.284152
0.248751,17.8963,0.0139086,644.35,20,-73.484,-0.103886,20.022,-0.22944,644.35,14.0666,0.311394
0.272358,19.5967,0.0139054,651.69,20,-74.4746,-0.105286,20.0274,-0.193929,651.69,15.4015,0.340981
