Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,10000.0,,5.25e-07,,straight,cross aligned,Beachley2011,7.914672795166295e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,10000.0,,5.06e-07,,straight,cross aligned,Beachley2011,7.62823701781742e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,20000.0,,4.95e-07,,straight,cross aligned,Beachley2011,7.46240577829965e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,17.0,0.000337,2.83e-10,Al,,20000.0,,4.85e-07,,straight,cross aligned,Beachley2011,5.8814889071310746e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,15000.0,,4.6799999999999996e-07,,straight,cross aligned,Beachley2011,7.055365463119668e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,15000.0,,4.38e-07,,straight,cross aligned,Beachley2011,6.603098446253023e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,8.0,0.000337,2.83e-10,Al,,10000.0,,4.2700000000000005e-07,,straight,cross aligned,Beachley2011,7.548364889166396e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,15000.0,,4.0799999999999995e-07,,straight,cross aligned,Beachley2011,6.150831429386377e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,20000.0,,3.93e-07,,straight,cross aligned,Beachley2011,5.924697920953055e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,11.0,0.000337,2.83e-10,Al,,20000.0,,3.74e-07,,straight,cross aligned,Beachley2011,5.63826214360418e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,8.0,0.000337,2.83e-10,Al,,15000.0,,3.65e-07,,straight,cross aligned,Beachley2011,6.452349378327247e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,8.0,0.000337,2.83e-10,Al,,15000.0,,3.38e-07,,straight,cross aligned,Beachley2011,5.975052301026327e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,8.0,0.000337,2.83e-10,Al,,20000.0,,2.85e-07,,straight,cross aligned,Beachley2011,5.0381358159541516e-08,,
PCL,80000.0,DCM/Methanol,0.007002205,,,1218.538,xy stage,8.0,0.000337,2.83e-10,Al,,20000.0,,2.7e-07,,straight,cross aligned,Beachley2011,4.772970773009196e-08,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0001,4.6500000000000005e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0001,4.44e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0001,3.77e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0002,3.64e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0001,3.6099999999999997e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0002,3.52e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0005,3.37e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.001,3.2200000000000003e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0002,3.19e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0002,3.07e-05,,coil,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0015,2.98e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0005,2.98e-05,,coil,single,Brown2011,,,
