Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PVDF,534000,Acetone/DMSO,0.162270122,,,943.42,auxiliary electrodes,17,0.0001,3.89E-12,Paper,0.00075,1900,0.01,,,meander,single,Kim2018
PCL,50000,CF,0.550367,,,1483.24,xy stage,18.34997064,0.00025,,,,6000 - 12000,0.005 - 0.0075,0.0000334 - 0.000103,,coil,single,Kolan2018
PCL,80000,CF,0.550367,0.000997348,1978.887896,1483.24,xy stage,8.8,0.0002,2.78E-11,Si,0.07,25000,0.002 - 0.5,,,coil and meander,single,Lee2012
PVDF,534000,CF/DMF,0.7474335,1.47E-05,4733.124612,1142.62,xy stage,12,,2.22E-11,Si,0.005,1200,0.03,4.23E-05,0.00026314,curved,mesh,Lei2015
PVP,1300000,CF/DMF,0.7474335,2.94E-05,4737.739163,1142.62,xy stage,17.4,0.00051,8.33E-11,Si/SiO2,0.001,50,0.8,1.76E-07,,straight,mesh,Lim2019
PVDF,534000,Acetone/DMSO,0.162270122,,,943.42,xy stage,18,0.0003,,,,900 - 1200,0.03 - 0.09,0.00000254 - 0.0000896 ,,straight,aligned,Liu2013
PVDF,534000,Acetone/DMSO,0.162270122,,,943.42,rotating drum,18,0.000381,,Si,0.0005,10000 - 16000,,0.000000205 - 0.00000145,,straight,cross aligned,Liu2014
PVDF,534000,Acetone/DMSO,0.162270122,,,943.42,xy stage,16 - 20,0.00026,1.67E-11,Si,0.001,,0.07,0.0000005 - 0.00002,,straight,cross aligned,Liu2015a
PVDF/PVA/SWCNT,534000,Acetone/DMSO,0.162270122,0.003383183,270.0535284,943.42,xy stage,21,0.000159,,paper,0.001,1000 - 1800,0.01 - 0.09,0.00000399 - 0.0000115,0.0001,straight,aligned,Luo2016
PEO,4000000,Water,0.958822,0.000573236,8892.441096,1000.62,xy stage,2,0.00021,2.78E-13,C/Si,0.001,200 - 400,0.02 - 0.08,0.0000000507 - 0.000000423,,straight,aligned and single,Madou2011
