Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PEO,400000,Water,0.028,0.00981,25,1215.525,xy stage,10,0.000108,NA,NA,0.00075,500,0.015,0.00000022,NA,straight,single,Shin2018
PEO,4000000,Water,,,,,xy stage,1.5,0.000108,NA,NA,NA,650,0.0002,4.35888E-07,NA,coil,single,Shin2019
PEO,4000000,Water,,,,,xy stage,1.5,0.000108,NA,NA,NA,650,0.0002,4.99958E-07,NA,coil,single,Shin2019
PEO,4000000,Water,,,,,xy stage,1.5,0.000108,NA,NA,NA,650,0.0005,5.83928E-07,NA,coil,single,Shin2019
PEO,4000000,Water,,,,,xy stage,1.5,0.000108,NA,NA,NA,650,0.0005,6.72826E-07,NA,coil,single,Shin2019
PEO,4000000,Water,,,,,xy stage,1.5,0.000108,NA,NA,NA,650,0.0008,8.14768E-07,NA,meander,single,Shin2019
PEO,4000000,Water,,,,,xy stage,1.5,0.000108,NA,NA,NA,650,0.0008,9.33233E-07,NA,meander,single,Shin2019
PEO,40000000,Water,,,,,xy stage,1.5,0.00011,NA,NA,0.0012,NA,NA,9.3974E-08,NA,meander,single,Shin2019
PEO,40000000,Water,,,,,xy stage,1.5,0.00011,NA,NA,0.0011,NA,NA,0.000000095,NA,meander,single,Shin2019
PEO,40000000,Water,,,,,xy stage,1.5,0.00011,NA,NA,0.001,NA,NA,9.6346E-08,NA,meander,single,Shin2019
PEO,40000000,Water,,,,,xy stage,1.5,0.00011,NA,NA,0.00085,NA,NA,9.6987E-08,NA,meander,single,Shin2019
PEO,40000000,Water,,,,,xy stage,1.5,0.00011,NA,NA,0.0008,NA,NA,9.7436E-08,NA,meander,single,Shin2019
PEO,900000,Water,0.056,0.034335,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.166854679,6.70732E-07,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.03310875,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.150226664,7.86585E-07,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.00981,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.002,1000,0.06667,7.87353E-07,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.0318825,25,1215.525,xy stage,5,0.00011,8.33E-13,PS,0.001,1000,0.06667,8.24504E-07,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.03065625,25,1215.525,xy stage,5,0.00011,1.304E-12,PS,0.001,1000,0.06667,8.63128E-07,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.02943,25,1215.525,xy stage,5,0.00011,1.631E-12,PS,0.001,1000,0.06667,1.01018E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.02820375,25,1215.525,xy stage,5,0.00011,8.334E-12,PS,0.001,1000,0.06667,1.24562E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.0269775,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.133742279,1.29878E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.02575125,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.117083327,1.32927E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.024525,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.008774731,1.45732E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.02329875,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.10046415,1.46951E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.0220725,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.017140667,1.54268E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.02084625,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.083847183,1.61585E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.01962,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.06667,1.85792E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.00981,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.0015,1000,0.06667,1.98983E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.01839375,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.067353959,2.10366E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.0171675,25,1215.525,xy stage,5,0.00011,1.3334E-11,PS,0.001,1000,0.06667,2.10484E-06,NA,straight,aligned,Yang2019
PEO,900000,Water,0.056,0.01594125,25,1215.525,xy stage,5,0.00011,1.667E-12,PS,0.001,1000,0.050743621,2.26829E-06,NA,straight,aligned,Yang2019
