Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0001,3.76704e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0002,3.64314e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0001,3.61234e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0002,3.51839e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0005,3.36621e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.001,3.22068e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0002,3.19402e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0002,3.07426e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0015,2.9802800000000002e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0005,2.9769699999999997e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.002,2.86968e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0005,2.8571999999999997e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.001,2.74162e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0025,2.6492399999999997e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0005,2.5927199999999998e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.001,2.5919099999999997e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0015,2.49622e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0015,2.49622e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.001,2.45717e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.003,2.44882e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0015,2.4014099999999998e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.002,2.3806300000000003e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0035,2.31826e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.002,2.31077e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0025,2.27996e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.004,2.15776e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.003,2.15439e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0025,2.1402899999999998e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0035,2.04379e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0001,2.03044e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0002,2.00634e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.003,1.96476e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.004,1.94318e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0005,1.939e-05,,0,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0015,1.83252e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0045,1.82759e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.001,1.8234100000000002e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0045,1.8225999999999998e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0035,1.77931e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.002,1.7668299999999998e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0025,1.7609700000000002e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.005,1.70695e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0025,1.7060799999999998e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.005,1.68699e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.003,1.68531e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.003,1.62542e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0035,1.61463e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.004,1.5738399999999998e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.389e-11,19,0.03,12000.0,0.0035,1.5297999999999998e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.004,1.519e-05,,4,6,2,,,
3,50000.0,2,,,,,4,,0.0005139999999999999,1.3889999999999998e-12,19,0.03,12000.0,0.0001,1.4515699999999999e-05,,0,6,2,,,
