Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
PEO,300000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,7.0,0.0001,2.7999999999999997e-14,,0.0005,1000.0,0.12,9.947e-07,,straight,mesh,Chang2008,1.1405635648754917e-06,1.8798063065113917e-13,740.9339993549518
PEO,300000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,7.0,0.0001,2.7999999999999997e-14,,0.0005,1200.0,0.12,2.3058e-06,,straight,mesh,Chang2008,1.6424115334207079e-06,4.357552409323381e-13,486.64780104773405
PVDF,534000.0,Acetone/DMSO,,,,,auxiliary electrodes,17.0,0.0001,3.888999999999999e-12,Paper,0.00075,1900.0,0.01,,,meander,single,Kim2018,,,
PVK,1100000.0,Styrene,0.055999999999999994,0.00981,25.0,1215.525,xy stage,3.96,0.0001,8.333999999999999e-12,Si/SiO2,0.0025,3500.0,0.133,6.5e-08,,straight,aligned,Min2013,5.588761467889909e-07,1.63318644979622e-14,2513.727468681008
PVK,1100000.0,Styrene,0.055999999999999994,0.00981,25.0,1215.525,xy stage,3.96,0.0001,8.333999999999999e-12,Si/SiO2,0.0025,3500.0,0.133,2.821e-07,,straight,aligned,Min2013,5.588761467889909e-07,7.088029192115595e-14,1206.6277976742226
PVK,1100000.0,Styrene,0.055999999999999994,0.00981,25.0,1215.525,xy stage,3.96,0.0001,8.333999999999999e-12,Si/SiO2,0.0025,3500.0,0.133,7.065999999999999e-07,,straight,aligned,Min2013,5.588761467889909e-07,1.7753993006553982e-13,762.4090672482711
PVK,1100000.0,Styrene,,,,,xy stage,3.96,0.0001,8.333999999999999e-12,Si/SiO2,0.0025,3500.0,0.133,,5e-05,straight,aligned,Min2013,,,
PEO/SU8,4000000.0,Cyclopentanote,0.055999999999999994,0.00981,25.0,1215.525,xy stage,0.5,0.00010800000000000001,,Si,0.0001,200.0,0.06,4.98e-06,,straight,single,Cardenas2017,1.1405635648754917e-06,3.5213917703090063e-12,171.19020123602746
PEO,400000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,10.0,0.00010800000000000001,,,0.00075,900.0,0.015,1.5e-07,,coil,single,Shin2018,4.1060288335517697e-07,2.3717082451262842e-14,2085.9574399592148
PEO,400000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,10.0,0.00010800000000000001,,,0.00075,700.0,0.015,1.3e-07,,meander,single,Shin2018,2.483893985728848e-07,2.0554804791094465e-14,2240.6777240520164
