Filename,esp_1
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_1
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
0.0760087,1.00001,0.0264853,5.01200,20.17,-13.7881,2.55697e-4
0.0740288,1.00003,0.0261911,9.97600,20.73,-14.2050,1.57275e-4
0.0740124,1.00003,0.0258496,14.9600,21.39,-14.2196,1.04197e-4
0.0730664,1.00003,0.0255034,19.9280,22.07,-14.4827,7.02328e-5
0.0723340,1.00002,0.0251418,24.9000,22.80,-13.7697,5.30596e-5
0.0703578,0.999994,0.0247901,29.8760,23.52,-14.4324,4.29823e-5
0.0690062,1.00002,0.0244365,34.8600,24.25,-14.4102,3.60765e-5
0.0689348,0.999996,0.0240376,39.8360,25.07,-14.4238,3.04009e-5
0.0681130,1.00002,0.0237173,44.8160,25.76,-14.0561,2.66637e-5
0.0675800,1.00000,0.0233963,49.7840,26.46,-14.3114,2.36785e-5
0.0653515,1.00001,0.0231006,54.7600,27.12,-13.9203,2.12593e-5
0.0645474,0.999998,0.0227961,59.7240,27.80,-14.9703,1.91946e-5
0.0640489,1.00004,0.0225007,64.7040,28.47,-15.0799,1.74700e-5
0.0637511,1.00002,0.0221745,69.6760,29.22,-15.1820,1.58811e-5
0.0633007,0.999989,0.0218976,74.6600,29.86,-14.9637,1.46882e-5
0.0612220,1.00001,0.0216200,79.6400,30.53,-16.2352,1.35795e-5
0.0607065,1.00001,0.0213606,84.6160,31.17,-16.7901,1.26396e-5
0.0601966,1.00004,0.0211064,89.5800,31.81,-17.1815,1.17788e-5
0.0598143,1.00001,0.0208526,94.5600,32.47,-17.3705,1.10202e-5
0.0588032,1.00002,0.0205918,99.5280,33.17,-17.3955,1.03180e-5
0.0575884,1.00002,0.0203293,104.504,33.88,-18.4381,9.67567e-6
0.0573200,0.999999,0.0200979,109.488,34.52,-19.1284,9.16194e-6
0.0565670,1.00002,0.0198671,114.460,35.20,-19.5886,8.65752e-6
0.0567653,1.00001,0.0196556,119.440,35.83,-20.0627,8.21818e-6
0.0557062,1.00001,0.0194357,124.404,36.50,-20.6366,7.79274e-6
0.0544269,1.00001,0.0192365,129.388,37.13,-21.1412,7.42494e-6
0.0539323,1.00006,0.0190146,134.356,37.87,-21.1756,7.02937e-6
