Filename,esp_10
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_10
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
1.97732,0.998945,0.872948,412.948,75.00,591.659,9.92449e-3
3.56284,1.00058,0.937648,417.920,75.66,1015.27,0.0105317
4.45117,0.997767,1.01349,422.896,76.32,1116.33,0.0112496
4.58704,1.00097,1.09417,427.876,76.95,1101.57,0.0120123
3.76596,0.996192,1.20508,432.840,77.69,848.239,0.0130602
6.57412,0.998180,1.30431,437.828,78.31,767.042,0.0139907
9.17454,0.999519,1.42342,442.800,78.97,1403.39,0.0151022
17.0797,1.00267,1.55694,447.776,79.62,1891.77,0.0163005
9.21748,0.995979,1.71210,452.748,80.28,1556.93,0.0177138
8.46085,0.998491,1.88749,457.720,80.94,1375.73,0.0193037
6.81570,0.999134,2.10152,462.696,81.66,1506.53,0.0212342
9.62157,0.995399,2.32486,467.680,82.34,1645.57,0.0232388
13.1945,0.999560,2.54040,472.656,82.97,1984.77,0.0251667
13.8511,0.998077,2.75486,477.616,83.59,1804.24,0.0270776
13.3321,1.01067,2.98876,482.604,84.27,1718.98,0.0291499
14.0591,0.999157,3.21477,487.568,84.93,1993.79,0.0311383
16.4796,1.00094,3.32147,492.552,85.27,1970.32,0.0321016
16.5045,1.00013,3.52873,497.528,85.31,1854.29,0.0321473

