Filename,esp_2
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_2
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
,Sample
proceduresegments,Flow ramp#Temperature ramp
[step]
Temperature ramp - 2
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus
Pa,1/s,Pa.s,s,°C,Pa,Pa
0.0100924,0.998646,0.0273493,348.280,66.38,-10.2354,3.49742e-5
0.0315221,1.00663,0.0343426,353.256,67.02,6.48851,4.01173e-5
8.18888e-3,0.999784,0.0385355,358.236,67.66,-12.0308,5.00420e-5
0.0156248,0.998853,0.0456886,363.208,68.40,-7.13990,5.83730e-5
0.0246443,1.00342,0.0538446,368.180,69.05,-3.43188,4.68110e-5
0.0259414,1.00051,0.0630360,373.168,69.69,-0.988267,5.99666e-5
0.0117538,1.00005,0.0754555,378.140,70.36,-8.73633,8.28311e-5
0.0343815,1.00164,0.103528,383.116,71.01,6.24068,1.16108e-4
0.0604469,1.00104,0.140338,388.084,71.66,17.7901,1.48128e-4
0.0908092,0.999014,0.194218,393.056,72.31,46.9383,1.72777e-4
0.0944889,0.999180,0.290864,398.028,73.03,41.7060,1.94898e-4
0.0623758,0.997180,,403.008,73.72,7.03113,
0.281471,1.01803,,407.976,74.34,57.0384,

