Filename,psb_thfdmf_01_6,,,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,,,
Sample name,PSB_THFDMF_01_6,,,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,,,
Procedure name,Sample,,,,,,,,,,,,
,Flow ramp,,,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,,,
[step],,,,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity,,
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s,,
5.66908,99.7385,0.0568394,784.204,20,38.9397,0.0550497,20.0126,3.91E-03,784.204,320.579,1.73545,,
6.18149,109.236,0.0565883,791.544,20,39.5966,0.0559784,20.0239,3.32E-03,791.544,349.555,1.9007,,
6.76018,119.637,0.0565057,798.884,20,35.5215,0.0502173,20.0227,2.48E-03,798.884,382.279,2.08168,,
7.30056,131.032,0.0557159,806.224,20,32.5401,0.0460025,20.0137,1.90E-03,806.224,412.837,2.27995,,
7.9795,143.627,0.055557,813.629,20,28.279,0.0399786,20.0127,1.37E-03,813.629,451.23,2.49911,,
8.72454,157.43,0.0554187,821.035,20,24.3361,0.0344044,20.0197,9.82E-04,821.035,493.361,2.73927,,
9.54663,172.423,0.0553676,828.375,20,24.2179,0.0342372,20.0259,8.15E-04,828.375,539.849,3.00015,,
10.4252,188.84,0.0552065,835.715,20,22.546,0.0318737,20.0175,6.32E-04,835.715,589.532,3.28581,,
11.3911,206.824,0.0550765,843.055,20,22.9593,0.032458,20.0314,5.37E-04,843.055,644.154,3.59873,,
12.4528,226.518,0.054975,850.395,20,24.4214,0.0345249,20.0196,4.76E-04,850.395,704.189,3.9414,,
13.6294,248.294,0.0548921,857.801,20,20.6827,0.0292395,20.0291,3.35E-04,857.801,770.723,4.32031,,
14.9053,272.157,0.0547672,865.206,20,24.6862,0.0348993,20.0219,3.33E-04,865.206,842.873,4.73552,,
16.2944,298.072,0.054666,872.546,20,27.2265,0.0384905,20.0342,3.06E-04,872.546,921.427,5.18644,,
17.8157,326.457,0.0545728,879.886,20,33.3107,0.047092,20.0246,3.13E-04,879.886,1007.45,5.68034,,
19.4641,357.543,0.0544384,887.226,20,41.8806,0.0592073,20.0273,3.28E-04,887.226,1100.67,6.22124,,
21.2851,391.592,0.0543553,894.566,20,39.7377,0.0561778,20.0239,2.59E-04,894.566,1203.64,6.81368,,
23.2928,429.235,0.0542659,901.972,19.99,44.5266,0.062948,20.0217,2.42E-04,901.972,1317.18,7.46868,,
25.4968,470.485,0.0541927,909.378,20,43.5896,0.0616234,20.0236,1.97E-04,909.378,1441.81,8.18641,,
27.8973,515.29,0.054139,916.718,20,39.2922,0.055548,20.0196,1.48E-04,916.718,1577.55,8.96603,,
30.5331,564.357,0.0541025,924.058,20,44.7169,0.0632171,20.0273,1.40E-04,924.058,1726.61,9.81978,,
33.4274,618.101,0.0540809,931.398,20,34.7479,0.0491237,20.0178,9.10E-05,931.398,1890.28,10.7549,,
